"PointID","x","y"
0, 9.997500181200000e-01, -3.633166184286476e-05
1, 9.990000128750000e-01, -1.454239739623753e-04
2, 9.977599978450000e-01, -3.269772386477279e-04
3, 9.960200190539999e-01, -5.870663991367214e-04
4, 9.937800168990000e-01, -9.367685941828068e-04
5, 9.910500049590000e-01, -1.393597159471794e-03
6, 9.878399968150000e-01, -1.980866693855645e-03
7, 9.841300249100000e-01, -2.727249299262043e-03
8, 9.799500107769999e-01, -3.641085942613221e-03
9, 9.752799868580000e-01, -4.720421136392547e-03
10, 9.701499938960000e-01, -5.927453781437097e-03
11, 9.645400047300000e-01, -7.216865311134635e-03
12, 9.584699869160000e-01, -8.529047687373555e-03
13, 9.519400000570000e-01, -9.820705928261744e-03
14, 9.449599981310000e-01, -1.106977298261212e-02
15, 9.375399947170000e-01, -1.227955930220706e-02
16, 9.296900033950000e-01, -1.347136984404198e-02
17, 9.214000105860000e-01, -1.467572673828718e-02
18, 9.126999974250000e-01, -1.591340924697485e-02
19, 9.035800099370001e-01, -1.720148210102687e-02
20, 8.940600156780000e-01, -1.854250949346148e-02
21, 8.841500282290000e-01, -1.993281008540496e-02
22, 8.738499879840000e-01, -2.136608949826581e-02
23, 8.631799817090000e-01, -2.283232101650058e-02
24, 8.521599769590000e-01, -2.432250849133000e-02
25, 8.407700061800000e-01, -2.583459757496035e-02
26, 8.290500044819999e-01, -2.735993792204887e-02
27, 8.170099854470000e-01, -2.889489744627080e-02
28, 8.046399950980000e-01, -3.043871280590959e-02
29, 7.919700145720000e-01, -3.198559475781498e-02
30, 7.790099978450000e-01, -3.353213374237931e-02
31, 7.657799720760000e-01, -3.507349523061523e-02
32, 7.522799968720000e-01, -3.660696529821980e-02
33, 7.385200262070000e-01, -3.812847329447813e-02
34, 7.245299816130000e-01, -3.963175966207482e-02
35, 7.103199958800001e-01, -4.111286374669512e-02
36, 6.958900094030001e-01, -4.256892723135373e-02
37, 6.812700033190000e-01, -4.399422000396599e-02
38, 6.664699912070000e-01, -4.538531695348091e-02
39, 6.514999866490000e-01, -4.673901362035886e-02
40, 6.363800168040000e-01, -4.805149491070210e-02
41, 6.211299896240000e-01, -4.931935413052628e-02
42, 6.057599782940000e-01, -5.054034955041977e-02
43, 5.902799963950000e-01, -5.171249389498504e-02
44, 5.747100114820000e-01, -5.283333561784703e-02
45, 5.590599775310000e-01, -5.390144796290744e-02
46, 5.433599948880000e-01, -5.491432335338572e-02
47, 5.276100039480000e-01, -5.587167834233994e-02
48, 5.118399858470000e-01, -5.677152908065729e-02
49, 4.960500001910000e-01, -5.761379521301761e-02
50, 4.802699983120000e-01, -5.839684276109126e-02
51, 4.645099937920000e-01, -5.912019109626386e-02
52, 4.487800002100000e-01, -5.978329579451701e-02
53, 4.331099987030000e-01, -6.038477937763667e-02
54, 4.174999892710000e-01, -6.092440684634771e-02
55, 4.019699990750000e-01, -6.140104067246752e-02
56, 3.865399956700000e-01, -6.181350068319718e-02
57, 3.712300062180000e-01, -6.216054483357601e-02
58, 3.560400009160000e-01, -6.244119189306485e-02
59, 3.409900069240000e-01, -6.265380193298192e-02
60, 3.261100053790000e-01, -6.279658644183059e-02
61, 3.113999962810000e-01, -6.286796147893500e-02
62, 2.968699932100000e-01, -6.286593980074037e-02
63, 2.825500071050000e-01, -6.278846237325603e-02
64, 2.684499919410000e-01, -6.263342415667525e-02
65, 2.545700073240000e-01, -6.239834662604791e-02
66, 2.409400045870000e-01, -6.208112979383732e-02
67, 2.275699973110000e-01, -6.167939877139715e-02
68, 2.144699990750000e-01, -6.119069032721661e-02
69, 2.016600072380000e-01, -6.061296832444397e-02
70, 1.891400069000000e-01, -5.994334491893559e-02
71, 1.769299954180000e-01, -5.917992587550289e-02
72, 1.650400012730000e-01, -5.832045651006792e-02
73, 1.534900069240000e-01, -5.736363939483712e-02
74, 1.422899961470000e-01, -5.630775178908870e-02
75, 1.314399987460000e-01, -5.515013225960402e-02
76, 1.209499984980000e-01, -5.388905153588357e-02
77, 1.108499988910000e-01, -5.252582748268696e-02
78, 1.011300012470000e-01, -5.105695531157499e-02
79, 9.181000292300000e-02, -4.948323874356323e-02
80, 8.290000259900000e-02, -4.780460939974383e-02
81, 7.440000027400000e-02, -4.601925416604292e-02
82, 6.633000075800000e-02, -4.412985038139076e-02
83, 5.869000032500000e-02, -4.213519859687861e-02
84, 5.149000138000000e-02, -4.003671677055502e-02
85, 4.473999887700000e-02, -3.783660453051656e-02
86, 3.844000026600000e-02, -3.553420269814814e-02
87, 3.260000050100000e-02, -3.313259085751021e-02
88, 2.723000012300000e-02, -3.063619118946173e-02
89, 2.232000045500000e-02, -2.804002327249041e-02
90, 1.789999939500000e-02, -2.536113594758570e-02
91, 1.394999958600000e-02, -2.258911184313722e-02
92, 1.049000024800000e-02, -1.973950851051844e-02
93, 7.519999985000000e-03, -1.681723322781076e-02
94, 5.040000193000000e-03, -1.382789865972401e-02
