"PointID","x","y"
0, 9.997500181200000e-01, -3.633242211317380e-05
1, 9.990000128750000e-01, -1.454719679721942e-04
2, 9.977599978450000e-01, -3.275034273422668e-04
3, 9.960200190539999e-01, -5.899058206269627e-04
4, 9.937800168990000e-01, -9.470176879297908e-04
5, 9.910500049590000e-01, -1.421882985630658e-03
6, 9.878399968150000e-01, -2.045032353856478e-03
7, 9.841300249100000e-01, -2.852725256935417e-03
8, 9.799500107769999e-01, -3.857253333768422e-03
9, 9.752799868580000e-01, -5.055807038515077e-03
10, 9.701499938960000e-01, -6.401705796297967e-03
11, 9.645400047300000e-01, -7.836724776308146e-03
12, 9.584699869160000e-01, -9.285917867447509e-03
13, 9.519400000570000e-01, -1.069445697912554e-02
14, 9.449599981310000e-01, -1.203505708004803e-02
15, 9.375399947170000e-01, -1.331290389000767e-02
16, 9.296900033950000e-01, -1.455620319955744e-02
17, 9.214000105860000e-01, -1.580424878401209e-02
18, 9.126999974250000e-01, -1.708529342151385e-02
19, 9.035800099370001e-01, -1.842144161503616e-02
20, 8.940600156780000e-01, -1.981729186019135e-02
21, 8.841500282290000e-01, -2.126909844229794e-02
22, 8.738499879840000e-01, -2.276942908390644e-02
23, 8.631799817090000e-01, -2.430669212355924e-02
24, 8.521599769590000e-01, -2.587051688483065e-02
25, 8.407700061800000e-01, -2.745809201897302e-02
26, 8.290500044819999e-01, -2.905989915355811e-02
27, 8.170099854470000e-01, -3.067177649780976e-02
28, 8.046399950980000e-01, -3.229253932187229e-02
29, 7.919700145720000e-01, -3.391560513986325e-02
30, 7.790099978450000e-01, -3.553673450739524e-02
31, 7.657799720760000e-01, -3.715004382533427e-02
32, 7.522799968720000e-01, -3.875174825136379e-02
33, 7.385200262070000e-01, -4.033655998040302e-02
34, 7.245299816130000e-01, -4.189689180622033e-02
35, 7.103199958800001e-01, -4.342758623160387e-02
36, 6.958900094030001e-01, -4.492468943968318e-02
37, 6.812700033190000e-01, -4.638141276530128e-02
38, 6.664699912070000e-01, -4.779350921297899e-02
39, 6.514999866490000e-01, -4.915714513438711e-02
40, 6.363800168040000e-01, -5.046809956510508e-02
41, 6.211299896240000e-01, -5.172282802761659e-02
42, 6.057599782940000e-01, -5.291921010888090e-02
43, 5.902799963950000e-01, -5.405563231133508e-02
44, 5.747100114820000e-01, -5.513029940561689e-02
45, 5.590599775310000e-01, -5.614266631914698e-02
46, 5.433599948880000e-01, -5.709141660881795e-02
47, 5.276100039480000e-01, -5.797754981739973e-02
48, 5.118399858470000e-01, -5.880066972751617e-02
49, 4.960500001910000e-01, -5.956228650249993e-02
50, 4.802699983120000e-01, -6.026261002843074e-02
51, 4.645099937920000e-01, -6.090296847960044e-02
52, 4.487800002100000e-01, -6.148465059418960e-02
53, 4.331099987030000e-01, -6.200819875788181e-02
54, 4.174999892710000e-01, -6.247509130142942e-02
55, 4.019699990750000e-01, -6.288591511368054e-02
56, 3.865399956700000e-01, -6.324108027046571e-02
57, 3.712300062180000e-01, -6.354076475892644e-02
58, 3.560400009160000e-01, -6.378516434603908e-02
59, 3.409900069240000e-01, -6.397367540492759e-02
60, 3.261100053790000e-01, -6.410530367270345e-02
61, 3.113999962810000e-01, -6.417897713681210e-02
62, 2.968699932100000e-01, -6.419300224485655e-02
63, 2.825500071050000e-01, -6.414531828262762e-02
64, 2.684499919410000e-01, -6.403356416017361e-02
65, 2.545700073240000e-01, -6.385480491559833e-02
66, 2.409400045870000e-01, -6.360611743223796e-02
67, 2.275699973110000e-01, -6.328412367900690e-02
68, 2.144699990750000e-01, -6.288513720042278e-02
69, 2.016600072380000e-01, -6.240561125962711e-02
70, 1.891400069000000e-01, -6.184110247029505e-02
71, 1.769299954180000e-01, -6.118782805884166e-02
72, 1.650400012730000e-01, -6.044156567859177e-02
73, 1.534900069240000e-01, -5.959881901014141e-02
74, 1.422899961470000e-01, -5.865565268183264e-02
75, 1.314399987460000e-01, -5.760721496677756e-02
76, 1.209499984980000e-01, -5.644942473913727e-02
77, 1.108499988910000e-01, -5.518102516241178e-02
78, 1.011300012470000e-01, -5.379631793765427e-02
79, 9.181000292300000e-02, -5.229365546541619e-02
80, 8.290000259900000e-02, -5.067067479498432e-02
81, 7.440000027400000e-02, -4.892339765119486e-02
82, 6.633000075800000e-02, -4.705235249091741e-02
83, 5.869000032500000e-02, -4.505441791492426e-02
84, 5.149000138000000e-02, -4.292923170621858e-02
85, 4.473999887700000e-02, -4.067746512451382e-02
86, 3.844000026600000e-02, -3.829710139171125e-02
87, 3.260000050100000e-02, -3.579023859946082e-02
88, 2.723000012300000e-02, -3.316077427183261e-02
89, 2.232000045500000e-02, -3.040304567047420e-02
90, 1.789999939500000e-02, -2.753527746898910e-02
91, 1.394999958600000e-02, -2.454698761686366e-02
92, 1.049000024800000e-02, -2.145627631721547e-02
93, 7.519999985000000e-03, -1.827080971948757e-02
94, 5.040000193000000e-03, -1.500026851327750e-02
95, 3.049999941000000e-03, -1.165656109651381e-02
96, 1.560000004000000e-03, -8.279739941641721e-03
97, 5.600000150000000e-04, -4.877901313983150e-03
98, 5.999999800000000e-05, -1.531000639197767e-03
99, 0.000000000000000e+00, 0.000000000000000e+00
100, 5.999999800000000e-05, 1.394619001117333e-03
101, 5.600000150000000e-04, 4.200590389542114e-03
102, 1.560000004000000e-03, 6.878288506772158e-03
103, 3.049999941000000e-03, 9.418683711028081e-03
104, 5.040000193000000e-03, 1.184440314236544e-02
105, 7.519999985000000e-03, 1.414609061152938e-02
106, 1.049000024800000e-02, 1.633128219082979e-02
107, 1.394999958600000e-02, 1.840652089493255e-02
108, 1.789999939500000e-02, 2.037808801958164e-02
109, 2.232000045500000e-02, 2.224436950516648e-02
110, 2.723000012300000e-02, 2.402144060716036e-02
111, 3.260000050100000e-02, 2.570590345619906e-02
112, 3.844000026600000e-02, 2.730898159015741e-02
113, 4.473999887700000e-02, 2.883500572083921e-02
114, 5.149000138000000e-02, 3.028873312304715e-02
115, 5.869000032500000e-02, 3.167687034226812e-02
116, 6.633000075800000e-02, 3.300370013846778e-02
117, 7.440000027400000e-02, 3.427346085540284e-02
118, 8.290000259900000e-02, 3.549159031054674e-02
119, 9.181000292300000e-02, 3.666029984549907e-02
120, 1.011300012470000e-01, 3.778428014150523e-02
121, 1.108499988910000e-01, 3.886643390815453e-02
122, 1.209499984980000e-01, 3.990833416380029e-02
123, 1.314399987460000e-01, 4.091423477751273e-02
124, 1.422899961470000e-01, 4.188400566471017e-02
125, 1.534900069240000e-01, 4.281921071113741e-02
126, 1.650400012730000e-01, 4.372171598348877e-02
127, 1.769299954180000e-01, 4.459204378074398e-02
128, 1.891400069000000e-01, 4.542962437137465e-02
129, 2.016600072380000e-01, 4.623424492565015e-02
130, 2.144699990750000e-01, 4.700467181716675e-02
131, 2.275699973110000e-01, 4.774047833238086e-02
132, 2.409400045870000e-01, 4.843964393891204e-02
133, 2.545700073240000e-01, 4.910034903092260e-02
134, 2.684499919410000e-01, 4.972036841013039e-02
135, 2.825500071050000e-01, 5.029631070762820e-02
136, 2.968699932100000e-01, 5.082577009414820e-02
137, 3.113999962810000e-01, 5.130553179446615e-02
138, 3.261100053790000e-01, 5.173151732206550e-02
139, 3.409900069240000e-01, 5.210014435945232e-02
140, 3.560400009160000e-01, 5.240776410108054e-02
141, 3.712300062180000e-01, 5.264992217801044e-02
142, 3.865399956700000e-01, 5.282244839891547e-02
143, 4.019699990750000e-01, 5.292132979695837e-02
144, 4.174999892710000e-01, 5.294231098727920e-02
145, 4.331099987030000e-01, 5.288133076216010e-02
146, 4.487800002100000e-01, 5.273459830339520e-02
147, 4.645099937920000e-01, 5.249831537748788e-02
148, 4.802699983120000e-01, 5.216935754534764e-02
149, 4.960500001910000e-01, 5.174474386847389e-02
150, 5.118399858470000e-01, 5.122183795684952e-02
151, 5.276100039480000e-01, 5.059927100011259e-02
152, 5.433599948880000e-01, 4.987521384906756e-02
153, 5.590599775310000e-01, 4.904982047305512e-02
154, 5.747100114820000e-01, 4.812253902240519e-02
155, 5.902799963950000e-01, 4.709534928301434e-02
156, 6.057599782940000e-01, 4.597000851767535e-02
157, 6.211299896240000e-01, 4.474991939558427e-02
158, 6.363800168040000e-01, 4.343871407180629e-02
159, 6.514999866490000e-01, 4.204090572445352e-02
160, 6.664699912070000e-01, 4.056289445783252e-02
161, 6.812700033190000e-01, 3.901220449168574e-02
162, 6.958900094030001e-01, 3.739628370596863e-02
163, 7.103199958800001e-01, 3.572334406136170e-02
164, 7.245299816130000e-01, 3.400475250203523e-02
165, 7.385200262070000e-01, 3.224899248800837e-02
166, 7.522799968720000e-01, 3.046617750772914e-02
167, 7.657799720760000e-01, 2.866944852334150e-02
168, 7.790099978450000e-01, 2.686965936122612e-02
169, 7.919700145720000e-01, 2.507633063076412e-02
170, 8.046399950980000e-01, 2.330163696202034e-02
171, 8.170099854470000e-01, 2.155610406412336e-02
172, 8.290500044819999e-01, 1.985251951109065e-02
173, 8.407700061800000e-01, 1.819701296860051e-02
174, 8.521599769590000e-01, 1.659696541267720e-02
175, 8.631799817090000e-01, 1.506165871470609e-02
176, 8.738499879840000e-01, 1.358911576089558e-02
177, 8.841500282290000e-01, 1.217989464882847e-02
178, 8.940600156780000e-01, 1.083221357461021e-02
179, 9.035800099370001e-01, 9.541341277907633e-03
180, 9.126999974250000e-01, 8.307227726187616e-03
181, 9.214000105860000e-01, 7.138605439784090e-03
182, 9.296900033950000e-01, 6.050653187954535e-03
183, 9.375399947170000e-01, 5.073712314913194e-03
184, 9.449599981310000e-01, 4.236992490824925e-03
185, 9.519400000570000e-01, 3.565583887298835e-03
