"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.824758639,       -16.0752345,      -15.92822974,      -2.373313362,      -10.37833269,               0.5,      0.5293855947,       1.259453607,                 0,                 0,                 0,      0.3451756641,      0.4571322325,       1.287440336,                 0,       2.379085528,    0.001186893408
          0,           0,           1,      -4.236126534,      -4.134446681,      -3.665638037,      -2.761444228,      -10.10675491,               0.5,      0.2991660469,      0.8376296255,                 0,                 0,                 0,      0.2197921841,      0.2511973309,      0.8532429982,                 0,       2.799881986,    0.001186893408
          0,           0,           2,      -4.494053643,      -4.386638158,      -4.139926685,      -3.034769867,      -9.818473323,               0.5,      0.1343651686,      0.5392950359,                 0,                 0,                 0,      0.1164209094,      0.1035749262,      0.5460452077,                 0,       4.013652062,    0.001395854309
          0,           0,           3,      -4.728587513,       -4.50483135,       -4.46588853,      -3.272873213,      -9.512713246,               0.5,     0.02781735194,      0.3471129295,                 0,                 0,                 0,     0.04487168922,    0.008093812907,      0.3481317007,                 0,       12.47828802,    0.001700345658
          0,           0,           4,      -4.993138713,      -4.628671725,      -4.605866276,      -3.544438487,       -9.22226213,               0.5,    -0.02849540677,      0.2400320026,                 0,                 0,                 0,    0.008659941211,     -0.0420576601,       0.238030468,                 0,      -8.423533115,    0.002070084151
          0,           0,           5,      -5.114289533,      -4.740253934,      -4.741396294,      -3.665663428,      -8.949139565,               0.5,    -0.05152480311,      0.1829547513,                 0,                 0,                 0,   -0.006584146831,    -0.06181414911,      0.1797394151,                 0,      -3.550809324,    0.002480975981
          0,           0,           6,      -5.190832212,      -4.770317846,       -4.79307684,      -3.744599468,      -8.719360024,               0.5,    -0.05362634097,      0.1587493231,                 0,                 0,                 0,   -0.009311471225,     -0.0625400338,      0.1554537752,                 0,      -2.960286312,     0.00291658786
          0,           0,           7,      -5.221788822,      -4.719817331,       -4.71714445,      -3.779841257,      -8.577715056,               0.5,    -0.04271644704,      0.1602931617,                 0,                 0,                 0,   -0.005395723531,    -0.05173521108,      0.1576136431,                 0,      -3.752492842,     0.00291658786
          0,           0,           8,      -5.163637691,      -4.733270301,      -4.651850835,      -3.718867533,      -8.520038026,               0.5,    -0.02739630994,      0.1759717781,                 0,                 0,                 0,   0.0005050584376,    -0.03732857828,      0.1741355844,                 0,      -6.423192706,    0.003366641868
          0,           0,           9,      -5.147779282,      -4.803516029,      -4.664023148,      -3.700230628,      -8.524031699,               0.5,    -0.01317760656,      0.2030381247,                 0,                 0,                 0,    0.007438923504,     -0.0246672099,      0.2019644973,                 0,      -15.40781505,    0.003824965328
