"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633192551942940e-05, 1.320848002030713e+00, 6.955360386855008e-01, 1.011604940689359e-01, 3.778244577418758e+00
1, 9.990000128750000e-01, -1.454406184598998e-04, 1.188619150416105e+00, 7.003271950281401e-01, 1.023480048433831e-01, 3.412133439547508e+00
2, 9.977599978450000e-01, -3.271597074334680e-04, 1.180054897003211e+00, 7.525175731875591e-01, 1.117693651776096e-01, 3.397842542102253e+00
3, 9.960200190539999e-01, -5.880509035533382e-04, 1.167049277979887e+00, 7.721643956883099e-01, 1.189607960854046e-01, 3.365817168106006e+00
4, 9.937800168990000e-01, -9.403214957581870e-04, 1.159003437956188e+00, 7.803681035275843e-01, 1.280221989251172e-01, 3.345492182196617e+00
5, 9.910500049590000e-01, -1.403399622003661e-03, 1.153461534115351e+00, 7.879810849159015e-01, 1.409834393845895e-01, 3.332144837157882e+00
6, 9.878399968150000e-01, -2.003093784949933e-03, 1.145934022717409e+00, 7.949031193045535e-01, 1.570614297684926e-01, 3.313401748454812e+00
7, 9.841300249100000e-01, -2.770688206071912e-03, 1.135254581541854e+00, 8.049365395418174e-01, 1.747363984141130e-01, 3.286813367139577e+00
8, 9.799500107769999e-01, -3.715859544847604e-03, 1.120187034506147e+00, 8.193577190141182e-01, 1.912393790208760e-01, 3.249228509397776e+00
9, 9.752799868580000e-01, -4.836300992892366e-03, 1.100828871518100e+00, 8.381831014853593e-01, 2.031479121058563e-01, 3.200884614901709e+00
10, 9.701499938960000e-01, -6.091060100011817e-03, 1.078317078925482e+00, 8.599349341386264e-01, 2.076941259529317e-01, 3.144557072442507e+00
11, 9.645400047300000e-01, -7.430254456429064e-03, 1.055091585906875e+00, 8.817728396832626e-01, 2.036690736304029e-01, 3.086268825784948e+00
12, 9.584699869160000e-01, -8.788870799724166e-03, 1.034958797234640e+00, 9.006351932278328e-01, 1.922270970939854e-01, 3.035666562333823e+00
13, 9.519400000570000e-01, -1.011953679835141e-02, 1.020886859115964e+00, 9.144259814443165e-01, 1.766209443242350e-01, 3.000294266463529e+00
14, 9.449599981310000e-01, -1.139831872162997e-02, 1.013555454422009e+00, 9.226876610175320e-01, 1.608041842671588e-01, 2.981884528289477e+00
15, 9.375399947170000e-01, -1.262914130480792e-02, 1.011384148820061e+00, 9.263685886825501e-01, 1.478649608827710e-01, 2.976424080588238e+00
16, 9.296900033950000e-01, -1.383568242534737e-02, 1.011799142879554e+00, 9.272823711434478e-01, 1.391695956432004e-01, 2.977430147620892e+00
17, 9.214000105860000e-01, -1.505148333901388e-02, 1.012480582439901e+00, 9.272375697738500e-01, 1.344862317190434e-01, 2.979075713524689e+00
18, 9.126999974250000e-01, -1.629990729529808e-02, 1.011985209370843e+00, 9.274978642653257e-01, 1.326316364956938e-01, 2.977737602557198e+00
19, 9.035800099370001e-01, -1.759973270916560e-02, 1.009828196269426e+00, 9.286151434299041e-01, 1.322328160632601e-01, 2.972197913936898e+00
20, 8.940600156780000e-01, -1.895420094451598e-02, 1.006182533179322e+00, 9.306374260644701e-01, 1.321878515400177e-01, 2.962900189063151e+00
21, 8.841500282290000e-01, -2.035956963975605e-02, 1.001499077138232e+00, 9.333025296835333e-01, 1.318399339956919e-01, 2.950974896072954e+00
22, 8.738499879840000e-01, -2.180910450738484e-02, 9.962528128637290e-01, 9.362829835384922e-01, 1.309383542942576e-01, 2.937612744451940e+00
23, 8.631799817090000e-01, -2.329221225857808e-02, 9.908288901625756e-01, 9.393320360442216e-01, 1.295017143072054e-01, 2.923789352322829e+00
24, 8.521599769590000e-01, -2.479941411388849e-02, 9.854401895326544e-01, 9.422745611105703e-01, 1.276619937729705e-01, 2.910036052767115e+00
25, 8.407700061800000e-01, -2.632837844040065e-02, 9.801729758793035e-01, 9.450548531217634e-01, 1.255767470593071e-01, 2.896574608060714e+00
26, 8.290500044819999e-01, -2.787021488138413e-02, 9.750208525650964e-01, 9.476634843738928e-01, 1.233556327019746e-01, 2.883387912337508e+00
27, 8.170099854470000e-01, -2.942117713831363e-02, 9.699401132256182e-01, 9.501341042823640e-01, 1.210622115042671e-01, 2.870369083839189e+00
28, 8.046399950980000e-01, -3.098043869668328e-02, 9.648778579726394e-01, 9.524768593584318e-01, 1.187139062582292e-01, 2.857378921742446e+00
29, 7.919700145720000e-01, -3.254208524852829e-02, 9.598124392937676e-01, 9.547175294046989e-01, 1.162997817234429e-01, 2.844365834637204e+00
30, 7.790099978450000e-01, -3.410258005712836e-02, 9.547338674800593e-01, 9.568822997610276e-01, 1.138038857610562e-01, 2.831309787025224e+00
31, 7.657799720760000e-01, -3.565691829020576e-02, 9.496124300223318e-01, 9.589594173493682e-01, 1.112015511032178e-01, 2.818127153748430e+00
32, 7.522799968720000e-01, -3.720220817007197e-02, 9.444211898033331e-01, 9.609530747487208e-01, 1.084777056726000e-01, 2.804746895491443e+00
33, 7.385200262070000e-01, -3.873417196921779e-02, 9.391803935766768e-01, 9.628684084288817e-01, 1.056245968425919e-01, 2.791224705125042e+00
34, 7.245299816130000e-01, -4.024632525652858e-02, 9.339407423586380e-01, 9.646875231636011e-01, 1.026376831613652e-01, 2.777690684811100e+00
35, 7.103199958800001e-01, -4.173450700864240e-02, 9.287392260169386e-01, 9.663888683085338e-01, 9.951898948936380e-02, 2.764236966878854e+00
36, 6.958900094030001e-01, -4.319567741362804e-02, 9.236194671136654e-01, 9.679958109693537e-01, 9.628086164877854e-02, 2.750986604495023e+00
37, 6.812700033190000e-01, -4.462393925924565e-02, 9.185747135954755e-01, 9.694643161004838e-01, 9.292833613538122e-02, 2.737907955426709e+00
38, 6.664699912070000e-01, -4.601574339710211e-02, 9.136383628014725e-01, 9.708240109593653e-01, 8.947944110983558e-02, 2.725098494196986e+00
39, 6.514999866490000e-01, -4.736779852044144e-02, 9.088237706648327e-01, 9.720704468575222e-01, 8.594880870514142e-02, 2.712591902180667e+00
40, 6.363800168040000e-01, -4.867624754293496e-02, 9.041472243105776e-01, 9.731934653676365e-01, 8.235113607182004e-02, 2.700427712904830e+00
