"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,       -6.19620129,      -6.194192652,      -6.803476186,      -5.599821276,             0.448,    0.001526131611,     0.08099407294,                 0,                 0,                 0,    -0.03321949479,   -0.000241107957,     0.08100809093,                 0,       53.07148635
          0,           0,           1,      -6.479237508,      -6.378189312,      -6.345101556,      -5.881907088,             0.448,    0.001270349074,     0.08091883643,                 0,                 0,                 0,    -0.03324070491,  -0.0004951883486,     0.08092729246,                 0,       63.69811109
          0,           0,           2,      -6.394617059,      -6.361219214,      -6.410193655,      -5.804492003,             0.448,    0.001225285628,     0.08101777013,                 0,                 0,                 0,    -0.03325881068,  -0.0005423992978,     0.08102521956,                 0,       66.12153792
          0,           0,           3,      -6.360639078,      -6.384652618,      -6.370248579,      -5.771862344,             0.448,    0.001226856275,     0.08091492642,                 0,                 0,                 0,    -0.03330097405,  -0.0005385855009,     0.08092243459,                 0,       65.95306073
          0,           0,           4,      -6.313331551,      -6.327715603,      -6.335659079,      -5.727571303,             0.448,    0.001198402535,     0.08076564505,                 0,                 0,                 0,    -0.03333842038,  -0.0005637759144,     0.08077256803,                 0,       67.39442109
          0,           0,           5,      -6.294383785,      -6.292068092,      -6.347552776,      -5.711827015,             0.448,    0.001177306861,     0.08069494553,                 0,                 0,                 0,    -0.03335998268,  -0.0005833242661,     0.08070142513,                 0,        68.5419819
          0,           0,           6,      -6.290612719,      -6.350408064,      -6.373357612,      -5.713128022,             0.448,    0.001166004343,     0.08062368568,                 0,                 0,                 0,    -0.03338920017,   -0.000593069569,     0.08062993568,                 0,        69.1452705
          0,           0,           7,      -6.281878779,      -6.332646649,      -6.365607312,      -5.705708091,             0.448,    0.001157337647,     0.08053280548,                 0,                 0,                 0,    -0.03341577616,  -0.0005997516606,     0.08053888804,                 0,       69.58453798
          0,           0,           8,       -6.27244518,      -6.310107367,       -6.37776365,      -5.697846102,             0.448,    0.001147822951,     0.08044818037,                 0,                 0,                 0,    -0.03343356265,  -0.0006074180059,     0.08045407551,                 0,       70.08762136
          0,           0,           9,      -6.279867134,      -6.355575341,      -6.402252386,        -5.7092388,             0.448,    0.001137591253,     0.08038142651,                 0,                 0,                 0,    -0.03344392121,  -0.0006161910415,     0.08038711433,                 0,        70.6593219
          0,           0,          10,      -6.283775194,      -6.403992715,      -6.434764585,      -5.715969599,             0.448,      0.0011284335,     0.08032577775,                 0,                 0,                 0,    -0.03345013937,  -0.0006241326432,     0.08033127904,                 0,       71.18343946
          0,           0,          11,      -6.289673256,      -6.428356198,      -6.451919364,      -5.724157735,             0.448,    0.001120285318,     0.08027402088,                 0,                 0,                 0,    -0.03345460382,  -0.0006311498162,     0.08027935673,                 0,       71.65497895
          0,           0,          12,      -6.294541355,      -6.443397535,      -6.465755915,      -5.730809268,             0.448,    0.001112359908,      0.0802248111,                 0,                 0,                 0,    -0.03345790658,  -0.0006379998342,     0.08022998577,                 0,       72.12127163
          0,           0,          13,      -6.301132763,      -6.463706177,      -6.481934605,      -5.737707593,             0.448,    0.001104624524,       0.080179912,                 0,                 0,                 0,    -0.03345960017,  -0.0006447539094,     0.08018492861,                 0,       72.58567077
          0,           0,          14,      -6.311421274,      -6.490010488,       -6.49638652,      -5.746898206,             0.448,    0.001097457961,     0.08014036274,                 0,                 0,                 0,    -0.03345957431,  -0.0006510560041,     0.08014523242,                 0,       73.02362878
          0,           0,          15,      -6.320763187,      -6.513729901,       -6.51189895,       -5.75491635,             0.448,    0.001091064304,     0.08010525399,                 0,                 0,                 0,    -0.03345856015,  -0.0006566822464,     0.08010999255,                 0,       73.41937016
          0,           0,          16,      -6.328352742,      -6.528314194,      -6.530685139,      -5.762345285,             0.448,    0.001085382186,     0.08007328665,                 0,                 0,                 0,    -0.03345727559,  -0.0006616656478,     0.08007790886,                 0,       73.77427754
          0,           0,          17,      -6.336607551,      -6.533134117,      -6.551683186,       -5.77170048,             0.448,    0.001080269488,     0.08004393734,                 0,                 0,                 0,    -0.03345588049,  -0.0006661368776,     0.08004845501,                 0,       74.09626785
          0,           0,          18,      -6.347247612,      -6.531901008,      -6.574479547,      -5.783847152,             0.448,     0.00107566247,     0.08001711358,                 0,                 0,                 0,    -0.03345429778,  -0.0006701576422,     0.08002153712,                 0,       74.38868216
          0,           0,          19,      -6.360696009,      -6.530040447,      -6.600316258,      -5.798500273,             0.448,    0.001071604547,     0.07999262444,                 0,                 0,                 0,    -0.03345254807,  -0.0006736803716,     0.07999696529,                 0,       74.64752241
          0,           0,          20,      -6.376441519,      -6.532125864,      -6.630258403,      -5.815013766,             0.448,    0.001068189919,     0.07997013561,                 0,                 0,                 0,    -0.03345075303,  -0.0006766035962,     0.07997440732,                 0,       74.86509114
          0,           0,          21,      -6.393545786,      -6.540254209,      -6.663674723,       -5.83266552,             0.448,    0.001065507253,     0.07994927041,                 0,                 0,                 0,    -0.03344904078,  -0.0006788304515,     0.07995348857,                 0,       75.03399924
          0,           0,          22,      -6.411104689,      -6.553943903,      -6.697965114,      -5.850729987,             0.448,    0.001063624102,     0.07992968093,                 0,                 0,                 0,    -0.03344751211,  -0.0006802858123,     0.07993386267,                 0,        75.1484296
          0,           0,          23,      -6.428498973,      -6.571241477,      -6.729710831,      -5.868556318,             0.448,    0.001062589153,     0.07991112454,                 0,                 0,                 0,    -0.03344624897,   -0.000680915709,     0.07991528811,                 0,       75.20415985
          0,           0,          24,      -6.445449893,      -6.590175196,      -6.756527421,       -5.88571914,             0.448,    0.001062425098,     0.07989342693,                 0,                 0,                 0,    -0.03344533303,  -0.0006806936537,     0.07989759114,                 0,        75.1991148
          0,           0,          25,        -6.4619629,      -6.609746846,      -6.778151602,      -5.902148142,             0.448,    0.001063115698,     0.07987641411,                 0,                 0,                 0,    -0.03344484436,  -0.0006796320858,     0.07988059744,                 0,       75.13426269
          0,           0,          26,        -6.4781831,      -6.630181143,       -6.79622359,      -5.918074028,             0.448,    0.001064602976,     0.07985990741,                 0,                 0,                 0,    -0.03344483984,  -0.0006777850697,      0.0798641271,                 0,       75.01379313
          0,           0,          27,       -6.49426218,      -6.652573226,      -6.813400798,       -5.93384816,             0.448,    0.001066789145,     0.07984373828,                 0,                 0,                 0,    -0.03344534144,  -0.0006752466935,     0.07984800952,                 0,        74.8449107
          0,           0,          28,      -6.510347488,      -6.678246799,      -6.832447221,      -5.949833302,             0.448,    0.001069542509,     0.07982776118,                 0,                 0,                 0,     -0.0334463388,  -0.0006721454462,     0.07983209628,                 0,       74.63729635
          0,           0,          29,      -6.526577859,      -6.708173803,      -6.855399992,      -5.966309082,             0.448,    0.001072708925,     0.07981185418,                 0,                 0,                 0,    -0.03344779679,  -0.0006686327735,     0.07981626214,                 0,       74.40215354
          0,           0,          30,      -6.543093969,      -6.742634096,      -6.882916985,      -5.983435488,             0.448,     0.00107612399,     0.07979591605,                 0,                 0,                 0,    -0.03344966252,  -0.0006648708328,      0.0798004023,                 0,       74.15122864
          0,           0,          31,      -6.559979636,      -6.781036309,      -6.914050557,      -6.001189924,             0.448,    0.001079626136,     0.07977986467,                 0,                 0,                 0,    -0.03345187369,  -0.0006610193615,     0.07978443114,                 0,        73.8958256
