"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633228550030646e-05, 1.320147700411142e+00, 6.985716010090580e-01, 1.016178659324218e-01, 3.776765494954278e+00
1, 9.990000128750000e-01, -1.454633389843079e-04, 1.187712690114017e+00, 7.011711451361047e-01, 1.025589543241443e-01, 3.409770128572687e+00
2, 9.977599978450000e-01, -3.274087222641381e-04, 1.179720845901354e+00, 7.523106416572335e-01, 1.120719384493607e-01, 3.396890358388348e+00
3, 9.960200190539999e-01, -5.893938985080824e-04, 1.167392844332890e+00, 7.709882821143427e-01, 1.196696451301760e-01, 3.366562162758104e+00
4, 9.937800168990000e-01, -9.451650727582735e-04, 1.159949821044453e+00, 7.781502602329744e-01, 1.295384586977517e-01, 3.347720026367627e+00
5, 9.910500049590000e-01, -1.416750770919387e-03, 1.154860708176545e+00, 7.849112843287058e-01, 1.437893015410004e-01, 3.335495461102250e+00
6, 9.878399968150000e-01, -2.033327972274196e-03, 1.147449922650444e+00, 7.912924564961812e-01, 1.615654816077668e-01, 3.317033646011092e+00
7, 9.841300249100000e-01, -2.829666943889619e-03, 1.136422542632162e+00, 8.012845972943603e-01, 1.811573444329070e-01, 3.289568709465115e+00
8, 9.799500107769999e-01, -3.817124794380973e-03, 1.120427381434852e+00, 8.162983529537843e-01, 1.995097468338152e-01, 3.249660473967479e+00
9, 9.752799868580000e-01, -4.992685948932402e-03, 1.099521875706659e+00, 8.363518498180188e-01, 2.128146175511925e-01, 3.197437164634789e+00
10, 9.701499938960000e-01, -6.310796381260407e-03, 1.074875785800403e+00, 8.598233475937846e-01, 2.179415558341275e-01, 3.135738256067733e+00
11, 9.645400047300000e-01, -7.714975848546638e-03, 1.049080651165277e+00, 8.835537064426103e-01, 2.134502553888885e-01, 3.070936506398638e+00
12, 9.584699869160000e-01, -9.132470326653951e-03, 1.026530058610758e+00, 9.040701207372355e-01, 2.005481309618907e-01, 3.014175665817173e+00
13, 9.519400000570000e-01, -1.051001058016749e-02, 1.010906118460987e+00, 9.189882153577501e-01, 1.828723869573132e-01, 2.974845940091974e+00
14, 9.449599981310000e-01, -1.182086595087610e-02, 1.003156920677704e+00, 9.277698375133129e-01, 1.649126682380750e-01, 2.955371508399132e+00
15, 9.375399947170000e-01, -1.306963604678852e-02, 1.001465290760997e+00, 9.314417845539166e-01, 1.501941918264387e-01, 2.951126939370610e+00
16, 9.296900033950000e-01, -1.428313955358533e-02, 1.002799678620991e+00, 9.320126398560185e-01, 1.402810669697077e-01, 2.954462303764839e+00
17, 9.214000105860000e-01, -1.549893163565587e-02, 1.004432863430762e+00, 9.315042350690279e-01, 1.349131598564087e-01, 2.958517299122171e+00
18, 9.126999974250000e-01, -1.674386415911771e-02, 1.004672782767311e+00, 9.313321341424085e-01, 1.327478498999236e-01, 2.959035790052392e+00
19, 9.035800099370001e-01, -1.803891354398791e-02, 1.002973049883795e+00, 9.321142196805104e-01, 1.322300852740728e-01, 2.954643812739859e+00
