"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
        499,           9,      -8.244271349,       -4.95095078,      -4.672129013,      -2.723063004,      -4.480468426,      0.9329898399,      0.3022755257,      0.6174140922,                 0,                 0,                 0,     0.01563966774,      0.1085531121,      0.6788128435,                 0,       2.042554027,      0.8454355556,      -2.944447211,      -2.386203879,      -2.249714601,      -2.913566483,      -3.420911958,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
        500,           9,      -8.280431848,      -4.878532476,      -4.615634755,      -2.745272913,      -4.577426884,      0.9329898399,      0.3031202872,      0.6264380934,                 0,                 0,                 0,     0.01932216804,       0.106722599,      0.6876895232,                 0,       2.066632026,      0.8454355556,      -2.979783587,      -2.312371436,      -2.192922156,      -2.935299673,       -3.51679561,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        501,           9,      -8.330246019,      -4.815312944,       -4.56296388,       -2.73494061,       -4.65111848,      0.9329898399,      0.3045482261,      0.6387401167,                 0,                 0,                 0,     0.02433262306,      0.1044913802,      0.6998714955,                 0,        2.09733652,       0.853431057,      -3.028610968,      -2.248008222,       -2.13928407,      -2.924500017,      -3.588631333,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        502,           9,      -8.331581856,      -4.788708364,      -4.543647483,      -2.713710591,      -4.621747866,      0.9329898399,        0.30678499,      0.6548003237,                 0,                 0,                 0,     0.03101274595,      0.1019348581,      0.7158839143,                 0,       2.134394918,       0.853431057,      -3.029650927,      -2.220888383,      -2.118274514,      -2.903216939,      -3.558809511,      0.8293243022,      0.2707095343,      0.5677689926,                 0,                 0,                 0,     0.02162899827,     0.09288122687,       0.622107996,                 0,       1.864299129,       0.758605384,                 1,                 1
        503,           9,      -8.312038651,      -4.759437967,      -4.535311021,      -2.683810708,      -4.525497668,      0.9329898399,      0.3099304632,      0.6746101996,                 0,                 0,                 0,     0.03935191123,     0.09915104192,      0.7357478402,                 0,       2.176650183,      0.8702721449,      -3.010387929,      -2.191290012,      -2.107449344,      -2.873473772,      -3.462832311,      0.6997423799,       0.229249956,      0.4850776652,                 0,                 0,                 0,     0.02075451338,     0.07740983938,      0.5309082787,                 0,       1.586899289,      0.6400732928,                 1,                 1
        504,           9,      -8.324167389,      -4.732041419,      -4.556278463,      -2.674547526,      -4.383709487,      0.9329898399,       0.314047736,      0.6978872349,                 0,                 0,                 0,     0.04914183716,     0.09628286299,      0.7592115538,                 0,       2.222232976,      0.7994144083,      -3.022666095,      -2.163316029,      -2.125600257,      -2.864149811,      -3.320132633,      0.7463918719,      0.2455491533,      0.5243402148,                 0,                 0,                 0,     0.02503140241,     0.08151758061,      0.5732206657,                 0,        1.70820885,       0.684990324,                 1,                 1
        505,           9,      -8.323259102,      -4.697754772,      -4.591435703,      -2.664781393,      -4.224438564,      0.9329898399,      0.3190269917,      0.7242400267,                 0,                 0,                 0,     0.06012048025,      0.0933397382,      0.7858686474,                 0,       2.270152826,      0.7768068802,      -3.021164928,      -2.127979165,      -2.158380783,      -2.853904846,      -3.159998558,      0.7774915333,      0.2570645348,      0.5543039102,                 0,                 0,                 0,      0.0294835848,     0.08376925803,      0.6052418618,                 0,       1.796721019,      0.7144506054,                 1,                 1
        506,           9,      -8.325920615,      -4.662946634,      -4.650329544,      -2.662960085,      -4.104990283,      0.9329898399,      0.3247550658,      0.7531704386,                 0,                 0,                 0,     0.07201229795,     0.09035908888,      0.8152096647,                 0,        2.31919535,      0.7515192365,      -3.022548454,      -2.091966902,      -2.215643208,      -2.851434264,      -3.039387123,      0.7997055771,       0.265951361,      0.5793078896,                 0,                 0,                 0,     0.03417797455,     0.08495731617,      0.6317515428,                 0,       1.866751032,      0.7245286058,                 1,                 1
        507,           9,      -8.301568827,      -4.632573544,      -4.741887762,      -2.658163317,      -3.993931713,      0.9329898399,       0.331051479,      0.7840133174,                 0,                 0,                 0,     0.08445823669,     0.08736279367,      0.8465457494,                 0,       2.368251971,      0.7736227779,      -2.996935742,      -2.060596133,      -2.306065367,      -2.846246937,      -2.925975735,      0.8163661099,      0.2732817603,      0.6015118581,                 0,                 0,                 0,     0.03913750099,     0.08547559976,      0.6551285048,                 0,       1.925425376,      0.7248099312,                 1,                 1
        508,           9,      -8.326631715,      -4.581562212,      -4.795475423,      -2.664907309,      -3.904552968,      0.9329898399,       0.337666024,      0.8158384663,                 0,                 0,                 0,     0.09699902064,     0.08438354149,      0.8789141965,                 0,       2.416110619,      0.7435412231,      -3.021547369,      -2.008937771,      -2.358293495,      -2.853118002,      -2.835767249,      0.8293243022,      0.2796424578,      0.6220830335,                 0,                 0,                 0,     0.04435621964,     0.08554393534,      0.6766605056,                 0,       1.976632795,      0.7216390454,                 1,                 1
