Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.926029,0,2.65634,-0,6.0613e-08,0,0,0,0,0,0,1.01124,0.790634,-0.00217901,1.28363,1.06253,0.0980374,0.000749752,0.000163129,9.28268e-05,0.000772888,1.13211,0,0,0,0,7.5286
1,0.916369,0,2.62834,-0,6.06082e-08,0,0,0,0,0,0,1.00266,0.790634,-0.00330084,1.27688,1.05134,0.0756435,0.000775901,0.00014576,9.53566e-05,0.000795211,1.13199,0,0,0,0,7.58901
2,0.90688,0,2.60057,-0,6.05984e-08,0,0,0,0,0,0,0.993541,0.790634,-0.00447473,1.26974,1.04023,0.0534275,0.000814297,0.000132704,9.91362e-05,0.000830974,1.13175,0,0,0,0,7.72418
3,0.897484,0,2.57303,-0,6.05878e-08,0,0,0,0,0,0,0.983774,0.790634,-0.00570947,1.26212,1.02921,0.0313939,0.000854756,0.00012078,0.000102295,0.000869287,1.13148,0,0,0,0,7.88093
4,0.888318,0,2.54615,-0,6.0577e-08,0,0,0,0,0,0,0.973255,0.790634,-0.0070023,1.25394,1.01846,0.00988557,0.000894927,0.000109275,0.00010431,0.000907588,1.13121,0,0,0,0,8.03245
5,0.879612,0,2.52062,-0,6.05666e-08,0,0,0,0,0,0,0.961913,0.790634,-0.00834711,1.24517,1.00825,-0.0105342,0.000932199,9.83026e-05,0.000105016,0.000943232,1.13096,0,0,0,0,8.17876
6,0.871645,0,2.49727,-0,6.05572e-08,0,0,0,0,0,0,0.949699,0.790634,-0.00973583,1.23577,0.99891,-0.0292123,0.000964753,8.81338e-05,0.00010447,0.000974387,1.13072,0,0,0,0,8.30952
7,0.864408,0,2.47608,-0,6.05488e-08,0,0,0,0,0,0,0.936585,0.790634,-0.0111605,1.22573,0.990433,-0.0461651,0.00099223,7.90798e-05,0.000102987,0.00100069,1.13051,0,0,0,0,8.42638
8,0.857953,0,2.45719,-0,6.05414e-08,0,0,0,0,0,0,0.922566,0.790634,-0.0126147,1.21507,0.982878,-0.0612762,0.00101523,7.12171e-05,0.000100965,0.00102272,1.13033,0,0,0,0,8.5185
9,0.851969,0,2.4397,-0,6.05346e-08,0,0,0,0,0,0,0.907652,0.790634,-0.0140936,1.2038,0.975878,-0.0752751,0.00103436,6.43467e-05,9.87247e-05,0.00104105,1.13016,0,0,0,0,8.5967
10,0.846212,0,2.42286,-0,6.05281e-08,0,0,0,0,0,0,0.891875,0.790634,-0.0155936,1.19197,0.969146,-0.0887403,0.00105132,5.80089e-05,9.65254e-05,0.00105734,1.13,0,0,0,0,8.66232
11,0.840259,0,2.40546,-0,6.05213e-08,0,0,0,0,0,0,0.875279,0.790634,-0.0171098,1.17962,0.962185,-0.102662,0.00106844,5.16235e-05,9.44603e-05,0.00107385,1.12983,0,0,0,0,8.72556
12,0.833899,0,2.38686,-0,6.05138e-08,0,0,0,0,0,0,0.857925,0.790634,-0.0186333,1.16683,0.954745,-0.117543,0.00108793,4.45047e-05,9.24106e-05,0.00109276,1.12965,0,0,0,0,8.79026
13,0.826974,0,2.36661,-0,6.05055e-08,0,0,0,0,0,0,0.839883,0.790634,-0.0201482,1.15365,0.946644,-0.133744,0.00111146,3.60587e-05,9.00363e-05,0.00111568,1.12944,0,0,0,0,8.86453
14,0.81967,0,2.34526,-0,6.04967e-08,0,0,0,0,0,0,0.821237,0.790634,-0.0216296,1.14018,0.938102,-0.150827,0.00113982,2.58801e-05,8.68229e-05,0.00114341,1.12922,0,0,0,0,8.94509
15,0.812392,0,2.32399,-0,6.0488e-08,0,0,0,0,0,0,0.802077,0.790634,-0.0230438,1.12648,0.929595,-0.167841,0.00117177,1.39503e-05,8.20925e-05,0.00117473,1.12901,0,0,0,0,9.03937
16,0.805904,0,2.30504,-0,6.04804e-08,0,0,0,0,0,0,0.782504,0.790634,-0.0243505,1.11266,0.922016,-0.183,0.00120621,7.72308e-07,7.5294e-05,0.00120856,1.12882,0,0,0,0,9.13912
17,0.801117,0,2.29106,-0,6.04746e-08,0,0,0,0,0,0,0.762626,0.790634,-0.0255068,1.0988,0.916423,-0.194186,0.00124074,-1.26352e-05,6.60297e-05,0.00124256,1.12868,0,0,0,0,9.23789
18,0.798946,0,2.28468,-0,6.04713e-08,0,0,0,0,0,0,0.742554,0.790634,-0.0264729,1.08498,0.913873,-0.199287,0.00127239,-2.49505e-05,5.42455e-05,0.00127379,1.12859,0,0,0,0,9.33912
19,0.799965,0,2.28758,-0,6.04711e-08,0,0,0,0,0,0,0.722408,0.790634,-0.0272177,1.07132,0.915034,-0.196964,0.00129923,-3.48841e-05,4.0339e-05,0.00130032,1.12859,0,0,0,0,9.43408
20,0.843804,0,2.41555,-0,6.05202e-08,0,0,0,0,0,0,0.624842,0.790634,-0.027453,1.00811,0.96622,-0.0945921,0.00132071,-3.51442e-05,-3.35262e-05,0.00132161,1.12981,0,0,0,0,9.65107
21,0.855727,0,2.45041,-0,6.05338e-08,0,0,0,0,0,0,0.606793,0.790634,-0.0269192,0.997008,0.980164,-0.0667039,0.0013167,-2.87889e-05,-4.57728e-05,0.00131781,1.13014,0,0,0,0,9.6666
22,0.867552,0,2.48497,-0,6.05465e-08,0,0,0,0,0,0,0.589487,0.790634,-0.0262478,0.986553,0.993988,-0.039056,0.00131643,-2.18994e-05,-5.77819e-05,0.00131788,1.13046,0,0,0,0,9.68479
23,0.941142,0,2.70211,-0,6.0654e-08,0,0,0,0,0,0,1.02743,0.790634,0,1.29643,1.08085,0.13466,9.85381e-06,3.51354e-05,-0.000319493,0.00032157,1.13312,0,0,0,0,4.9089
24,0.935033,0,2.68261,-0,6.06207e-08,0,0,0,0,0,0,1.01944,0.790634,-0.00108802,1.2901,1.07304,0.119058,0.00078186,0.000205797,9.74361e-05,0.000814341,1.1323,0,0,0,0,7.77314
25,0.804295,0,2.30013,-0,6.04744e-08,0,0,0,0,0,0,0.70231,0.790634,-0.0277228,1.05788,0.920054,-0.186924,0.00131878,-4.14972e-05,2.50185e-05,0.00131967,1.12867,0,0,0,0,9.51777
