Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.800437,0,2.29172,-0,6.05263e-08,0,0,0,0,0,0,0.973206,1.2042,-0.0154768,1.54837,0.916686,-0.193659,0.000950412,0.00038432,0.000312746,0.00107182,1.12996,0,0,0,0,8.07263
1,0.79436,0,2.27377,-0,6.05155e-08,0,0,0,0,0,0,0.965922,1.2042,-0.0157823,1.54381,0.90951,-0.208013,0.000974838,0.00039586,0.000319551,0.0010996,1.12969,0,0,0,0,8.17703
2,0.780694,0,2.23345,-0,6.0491e-08,0,0,0,0,0,0,0.950515,1.2042,-0.0163818,1.53422,0.893381,-0.240269,0.00102902,0.000420248,0.000332881,0.0011603,1.12908,0,0,0,0,8.41438
3,0.766743,0,2.19239,-0,6.0467e-08,0,0,0,0,0,0,0.934868,1.2042,-0.0169549,1.52458,0.876955,-0.273121,0.00109785,0.000451065,0.000349149,0.00123719,1.12849,0,0,0,0,8.4919
4,0.753246,0,2.15276,-0,6.04449e-08,0,0,0,0,0,0,0.919068,1.2042,-0.0174704,1.51495,0.861103,-0.304826,0.00116748,0.000483824,0.000364646,0.00131532,1.12794,0,0,0,0,8.58734
5,0.74099,0,2.11684,-0,6.04256e-08,0,0,0,0,0,0,0.90321,1.2042,-0.0178932,1.50539,0.846737,-0.333557,0.00121264,0.000508161,0.000370674,0.00136606,1.12746,0,0,0,0,8.83018
6,0.730387,0,2.08585,-0,6.041e-08,0,0,0,0,0,0,0.887389,1.2042,-0.0181939,1.49595,0.834342,-0.358348,0.00126115,0.000536334,0.000378621,0.0014218,1.12708,0,0,0,0,8.88254
7,0.721359,0,2.05963,-0,6.03999e-08,0,0,0,0,0,0,0.871704,1.2042,-0.0183555,1.48671,0.823851,-0.37933,0.00129397,0.000561073,0.000383106,0.00146148,1.12683,0,0,0,0,8.906
8,0.713495,0,2.03692,-0,6.0394e-08,0,0,0,0,0,0,0.856249,1.2042,-0.0183784,1.4777,0.814769,-0.397494,0.0013024,0.000579055,0.000382466,0.00147575,1.12668,0,0,0,0,9.10645
9,0.706264,0,2.01599,-0,6.03873e-08,0,0,0,0,0,0,0.841121,1.2042,-0.0182775,1.46898,0.806396,-0.414239,0.00133994,0.000612635,0.000395133,0.00152542,1.12652,0,0,0,0,8.9556
10,0.699205,0,1.9955,-0,6.03795e-08,0,0,0,0,0,0,0.826409,1.2042,-0.0180757,1.46061,0.798201,-0.430631,0.00136931,0.000644608,0.000406766,0.00156716,1.12632,0,0,0,0,9.02629
11,0.692188,0,1.97519,-0,6.03729e-08,0,0,0,0,0,0,0.812202,1.2042,-0.017799,1.45261,0.790074,-0.446883,0.00140707,0.000682017,0.000422077,0.00161962,1.12616,0,0,0,0,8.88484
12,0.685396,0,1.9557,-0,6.03704e-08,0,0,0,0,0,0,0.79858,1.2042,-0.0174701,1.44503,0.782278,-0.462475,0.00139946,0.000698038,0.000421278,0.00161963,1.1261,0,0,0,0,9.12016
13,0.793373,0,2.28054,-0,6.07079e-08,0,0,0,0,0,0,1.07597,1.2042,0,1.61487,0.912217,-0.202597,0.000253912,-4.18466e-05,0.000102864,0.000277135,1.13446,0,0,0,0,2.69877
14,0.793661,0,2.28116,-0,6.07039e-08,0,0,0,0,0,0,1.0718,1.2042,-0.000300145,1.61209,0.912463,-0.202106,0.000283771,-3.34786e-05,0.00010808,0.000305496,1.13436,0,0,0,0,2.918
15,0.794065,0,2.28158,-0,6.06897e-08,0,0,0,0,0,0,1.06077,1.2042,-0.00125063,1.60478,0.912634,-0.201764,0.000362289,-8.29389e-06,0.00012335,0.000382802,1.13401,0,0,0,0,3.4894
16,0.793721,0,2.27964,-0,6.06712e-08,0,0,0,0,0,0,1.04903,1.2042,-0.00252934,1.59705,0.911858,-0.203316,0.000444836,2.45584e-05,0.000140808,0.000467236,1.13355,0,0,0,0,4.26484
17,0.793182,0,2.27701,-0,6.06499e-08,0,0,0,0,0,0,1.03661,1.2042,-0.004191,1.58892,0.910805,-0.205423,0.000546371,6.52902e-05,0.000166434,0.000574878,1.13302,0,0,0,0,4.77236
18,0.794388,0,2.27934,-0,6.06274e-08,0,0,0,0,0,0,1.02354,1.2042,-0.00620378,1.58043,0.911736,-0.203559,0.000630022,0.000116267,0.000189578,0.000668121,1.13247,0,0,0,0,5.62349
19,0.797167,0,2.28608,-0,6.06026e-08,0,0,0,0,0,0,1.00988,1.2042,-0.00854059,1.57163,0.91443,-0.198171,0.000729395,0.000179707,0.000223022,0.000783614,1.13185,0,0,0,0,6.15958
20,0.800025,0,2.29289,-0,6.05746e-08,0,0,0,0,0,0,0.995682,1.2042,-0.0111599,1.56256,0.917158,-0.192716,0.000805303,0.000250348,0.000252669,0.000880357,1.13116,0,0,0,0,7.05741
21,0.801296,0,2.29502,-0,6.05437e-08,0,0,0,0,0,0,0.981004,1.2042,-0.0139976,1.55327,0.918008,-0.191017,0.000905,0.000337582,0.000293105,0.0010094,1.13039,0,0,0,0,7.6636
22,0.678923,0,1.93728,-0,6.03718e-08,0,0,0,0,0,0,0.785616,1.2042,-0.0171071,1.43791,0.77491,-0.477211,0.00141284,0.000723003,0.000424278,0.00164282,1.12613,0,0,0,0,9.17901
23,0.672958,0,1.92024,-0,6.03718e-08,0,0,0,0,0,0,0.77338,1.2042,-0.0167207,1.43125,0.768095,-0.490842,0.00143263,0.000744031,0.000419578,0.00166795,1.12613,0,0,0,0,9.26346
24,0.668236,0,1.9065,-0,6.03663e-08,0,0,0,0,0,0,0.761928,1.2042,-0.0163159,1.42509,0.762601,-0.50183,0.00147804,0.000765834,0.000407048,0.00171371,1.126,0,0,0,0,9.4352
25,0.668233,0,1.90649,-0,6.03663e-08,0,0,0,0,0,0,0.7619,1.2042,-0.0163147,1.42508,0.762598,-0.501837,0.00147825,0.000765904,0.000406996,0.00171391,1.126,0,0,0,0,9.43517
26,0.532054,0,1.52126,-0,6.04648e-08,0,0,0,0,0,0,0.7619,1.2042,0.0163147,1.42508,0.608503,-0.810025,0.000857471,-0.000408267,0.000370589,0.00101945,1.12843,0,0,0,0,6.4822
27,0.532192,0,1.52166,-0,6.0465e-08,0,0,0,0,0,0,0.761928,1.2042,0.0163159,1.42509,0.608663,-0.809706,0.000856752,-0.000407706,0.000370135,0.00101845,1.12844,0,0,0,0,6.48042
28,0.569344,0,1.62943,-0,6.0508e-08,0,0,0,0,0,0,0.77338,1.2042,0.0167207,1.43125,0.651772,-0.723487,0.000722392,-0.000258292,0.000254458,0.000808278,1.1295,0,0,0,0,5.92753
29,0.593623,0,1.69947,-0,6.05227e-08,0,0,0,0,0,0,0.785616,1.2042,0.0171071,1.43791,0.679789,-0.667454,0.000672501,-0.000177843,0.00019331,0.00072198,1.12987,0,0,0,0,5.68153
30,0.612457,0,1.75357,-0,6.05272e-08,0,0,0,0,0,0,0.79858,1.2042,0.0174701,1.44503,0.701428,-0.624175,0.000647625,-0.000137942,0.000159743,0.00068115,1.12998,0,0,0,0,5.5139
31,0.629725,0,1.8032,-0,6.05319e-08,0,0,0,0,0,0,0.812202,1.2042,0.017799,1.45261,0.721281,-0.584469,0.000637494,-0.000117144,0.000138117,0.00066272,1.1301,0,0,0,0,5.22174
32,0.645271,0,1.84795,-0,6.05373e-08,0,0,0,0,0,0,0.826409,1.2042,0.0180757,1.46061,0.739178,-0.548675,0.000610991,-9.90651e-05,0.000115797,0.000629708,1.13023,0,0,0,0,5.23424
33,0.660483,0,1.89182,-0,6.05445e-08,0,0,0,0,0,0,0.841121,1.2042,0.0182775,1.46898,0.756729,-0.513574,0.000582692,-7.99513e-05,9.26166e-05,0.000595399,1.13041,0,0,0,0,5.12734
