"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -6.119877695,      -5.970938143,      -6.314914759,      -6.144371505,      -5.544422035,      -8.712539073
          0,           0,          55,      -6.125981019,      -5.968446925,       -6.32562425,      -6.137904511,      -5.551214808,      -8.693383389
          0,           0,          56,      -6.116968683,      -5.972139354,      -6.325553504,      -6.149396889,      -5.542978074,      -8.682096229
          0,           0,          57,       -6.10662011,      -5.967522236,       -6.32866659,      -6.155283535,       -5.53253216,      -8.676314363
          0,           0,          58,      -6.091942209,      -5.949433238,      -6.331075203,      -6.159181724,      -5.518413214,      -8.675220826
          0,           0,          59,      -6.090242157,      -5.964077354,      -6.334698647,      -6.167787824,      -5.517062053,      -8.675080346
          0,           0,          60,      -6.071367848,      -5.936239603,      -6.338641942,       -6.17219853,      -5.497617445,      -8.666493735
          0,           0,          61,      -6.060911745,      -5.921310586,      -6.342153953,      -6.171136056,      -5.486138722,      -8.652739325
          0,           0,          62,      -6.065801326,      -5.934184699,       -6.34254397,      -6.173631949,      -5.490240078,      -8.637290525
          0,           0,          63,      -6.071194649,      -5.943188976,      -6.340878358,      -6.168713021,      -5.497076001,      -8.621789646
          0,           0,          64,      -6.040577785,      -5.862237505,      -6.329568533,      -6.159447786,      -5.462374397,      -8.605871007
          0,           0,          65,       -6.03654487,      -5.893997171,      -6.334298883,      -6.148211383,      -5.459852738,      -8.590150257
          0,           0,          66,      -6.028032807,      -5.884012281,      -6.326315843,      -6.139291098,      -5.451215093,      -8.575515745
          0,           0,          67,      -6.044343768,      -5.895305764,       -6.32534432,       -6.13749647,      -5.469052589,      -8.562374986
          0,           0,          68,      -6.043036648,      -5.915599236,      -6.325848706,      -6.135820261,      -5.467506839,      -8.550794268
          0,           0,          69,      -6.059366304,      -5.895891706,      -6.317582696,      -6.140146528,      -5.484558336,      -8.540223486
          0,           0,          70,      -6.053169702,      -5.911896572,      -6.320576402,      -6.135532197,      -5.475688134,      -8.531321714
