Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
25,0.889783,0,2.55,-0,6.05708e-08,0,0,0,0,0,0,0.639551,0.973088,-0.0213502,1.16464,1.02,0.0129702,0.0013668,2.27864e-05,-0.000100446,0.00137068,1.13106,0,0,0,0,9.82811
26,0.903891,0,2.59123,-0,6.05849e-08,0,0,0,0,0,0,0.627327,0.973088,-0.0203649,1.15795,1.03649,0.0459557,0.00137283,3.11571e-05,-0.000117725,0.00137822,1.13141,0,0,0,0,9.85523
27,0.918898,0,2.63515,-0,6.06004e-08,0,0,0,0,0,0,0.616105,0.973088,-0.0193087,1.15189,1.05406,0.0810894,0.00137727,4.24275e-05,-0.000136637,0.00138468,1.1318,0,0,0,0,9.87514
28,0.934729,0,2.68154,-0,6.06173e-08,0,0,0,0,0,0,0.605914,0.973088,-0.0181972,1.14646,1.07262,0.118203,0.00138024,5.72128e-05,-0.000156799,0.00139029,1.13221,0,0,0,0,9.88204
29,0.951328,0,2.73027,-0,6.06359e-08,0,0,0,0,0,0,0.596766,0.973088,-0.0170522,1.14163,1.09211,0.157188,0.0013779,7.54455e-05,-0.000177162,0.00139129,1.13268,0,0,0,0,9.87202
30,0.961875,0,2.76129,-0,6.06482e-08,0,0,0,0,0,0,0.590863,0.973088,-0.0162131,1.13854,1.10452,0.182003,0.00138236,8.83325e-05,-0.000193439,0.00139862,1.13298,0,0,0,0,9.86711
31,0.298464,0,0.83923,-0,5.97069e-08,0,0,0,0,0,0,0.590863,0.973088,0.0162131,1.13854,0.335692,-1.35565,0.00265587,-0.00066307,0.00044734,0.0027737,1.10974,0,0,0,0,7.86031
32,0.308954,0,0.868301,-0,5.96846e-08,0,0,0,0,0,0,0.596766,0.973088,0.0170522,1.14163,0.34732,-1.33239,0.00260476,-0.000612658,0.000397915,0.00270527,1.10919,0,0,0,0,7.96989
33,0.320953,0,0.902403,-0,5.97036e-08,0,0,0,0,0,0,0.605914,0.973088,0.0181972,1.14646,0.360961,-1.30511,0.0025208,-0.000556045,0.000335484,0.00260311,1.10966,0,0,0,0,8.04475
34,0.330556,0,0.930001,-0,5.97326e-08,0,0,0,0,0,0,0.616105,0.973088,0.0193087,1.15189,0.372001,-1.28303,0.00244631,-0.000512592,0.000281456,0.00251523,1.11037,0,0,0,0,8.09861
