"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -13.02190393,      -13.88288095,      -13.53703978,      -12.47257966,             0.448,     0.00108149088,     0.08126786185,                 0,                 0,                 0,    -0.03312121717,  -0.0006916155485,      0.0812721149,                 0,       75.14428769
          0,           0,           1,      -13.03473108,      -13.92099509,      -13.54298621,      -12.48561851,             0.448,    0.001081490878,     0.08126786185,                 0,                 0,                 0,    -0.03312121717,   -0.000691615551,      0.0812721149,                 0,       75.14428787
          0,           0,           2,      -13.04586529,      -13.93526682,      -13.55585585,      -12.49664599,             0.448,    0.001081490877,     0.08126786185,                 0,                 0,                 0,    -0.03312121717,  -0.0006916155516,      0.0812721149,                 0,       75.14428791
          0,           0,           3,      -13.05814399,      -13.94696069,      -13.56776056,       -12.5089973,             0.448,    0.001081490877,     0.08126786185,                 0,                 0,                 0,    -0.03312121717,  -0.0006916155515,      0.0812721149,                 0,        75.1442879
          0,           0,           4,      -13.06959386,      -13.95341648,      -13.58054241,      -12.52040867,             0.448,    0.001081490877,     0.08126786185,                 0,                 0,                 0,    -0.03312121717,  -0.0006916155517,      0.0812721149,                 0,       75.14428792
          0,           0,           5,      -13.08124348,      -13.95314741,      -13.59377029,       -12.5320533,             0.448,    0.001081490877,     0.08126786185,                 0,                 0,                 0,    -0.03312121717,   -0.000691615552,      0.0812721149,                 0,       75.14428794
          0,           0,           6,      -13.09285312,      -13.96611666,      -13.60597529,       -12.5436526,             0.448,    0.001081490877,     0.08126786185,                 0,                 0,                 0,    -0.03312121717,  -0.0006916155522,      0.0812721149,                 0,       75.14428795
          0,           0,           7,      -13.10458056,      -13.97754739,      -13.61717165,      -12.55534088,             0.448,    0.001081490877,     0.08126786185,                 0,                 0,                 0,    -0.03312121717,  -0.0006916155523,      0.0812721149,                 0,       75.14428796
          0,           0,           8,      -13.11634173,      -13.98124624,      -13.62899529,       -12.5670316,             0.448,    0.001081490876,     0.08126786185,                 0,                 0,                 0,    -0.03312121717,  -0.0006916155524,      0.0812721149,                 0,       75.14428796
          0,           0,           9,      -13.12814665,      -13.99432544,      -13.64231893,      -12.57879263,             0.448,    0.001081490876,     0.08126786185,                 0,                 0,                 0,    -0.03312121717,  -0.0006916155525,      0.0812721149,                 0,       75.14428797
          0,           0,          10,      -13.13996625,      -14.01524887,       -13.6561943,      -12.59058743,             0.448,    0.001081490876,     0.08126786185,                 0,                 0,                 0,    -0.03312121717,  -0.0006916155526,      0.0812721149,                 0,       75.14428798
