"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.722399951,      -13.33318954,      -13.38424189,      -1.674692519,      -9.129658572,               0.5,       4.882670376,       11.98690814,                 0,                 0,                 0,       3.309071039,         1.6138573,       12.84219223,                 0,       2.454990244,    0.001344157745
          0,           0,           1,       -3.89569725,      -3.739005058,      -3.143200338,      -1.838810209,      -9.546817719,               0.5,       2.470277988,       5.831035578,                 0,                 0,                 0,        1.53211478,      0.8769222461,       6.271702849,                 0,       2.360477488,    0.001629100004
          0,           0,           2,      -4.778892857,      -4.020724947,      -3.806479386,      -2.731829491,       -10.2380713,               0.5,       1.834598188,       4.731842617,                 0,                 0,                 0,       1.195339968,      0.5473947825,       5.045437941,                 0,       2.579225603,    0.001629100004
          0,           0,           3,      -4.924592638,      -3.907800763,      -3.814917813,      -2.880127822,      -10.54857873,               0.5,       1.211161126,       3.474663067,                 0,                 0,                 0,      0.7775211039,      0.2705828347,       3.669738361,                 0,       2.868869378,    0.001629100004
          0,           0,           4,      -4.988239682,      -3.880009854,       -3.86668791,      -2.944670333,      -10.75175982,               0.5,       0.626533771,       2.097202328,                 0,                 0,                 0,      0.3214603421,     0.06238924652,       2.187900764,                 0,       3.347309315,    0.001629100004
          0,           0,           5,      -4.928624327,      -3.922748886,       -3.96642103,      -2.882710131,      -10.79593327,               0.5,      0.1557606582,      0.8148244589,                 0,                 0,                 0,    -0.09136747743,    -0.06043884587,      0.8273738136,                 0,        5.23125973,    0.001629100004
          0,           0,           6,      -4.857172496,      -4.008128476,      -4.082101943,      -2.810306201,        -10.751226,               0.5,     -0.1560531142,     -0.1887426708,                 0,                 0,                 0,     -0.3940875329,     -0.1018855355,     -0.2227009383,                 0,       1.209477118,    0.001629100004
          0,           0,           7,      -4.837245479,      -4.078154294,      -4.140794739,      -2.789932865,       -10.6998277,               0.5,     -0.3032236221,     -0.8034233499,                 0,                 0,                 0,     -0.5521771879,    -0.08495026352,     -0.8545274115,                 0,        2.64960673,    0.002371402764
          0,           0,           8,       -4.87199028,      -4.070943098,      -4.106472746,      -2.824032101,      -10.64929573,               0.5,     -0.3114822935,         -1.006363,                 0,                 0,                 0,     -0.5687470738,    -0.04040288109,      -1.052689562,                 0,       3.230883491,    0.002371402764
          0,           0,           9,      -4.948361833,      -4.023871812,      -4.050372956,      -2.899422573,      -10.59580493,               0.5,     -0.2223598467,     -0.8492629443,                 0,                 0,                 0,     -0.4746095354,    0.005022305606,     -0.8778759744,                 0,       3.819317907,    0.002519401386
          0,           0,          10,        -5.0272475,      -3.995228652,      -4.023782287,      -2.977584933,       -10.5408219,               0.5,      -0.081437311,     -0.4378518635,                 0,                 0,                 0,     -0.3157991342,      0.0346619993,     -0.4440099502,                 0,       5.376551094,    0.002519401386
