"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633242211317380e-05, 1.321694532878143e+00, 6.900332183523491e-01, 1.003817826553607e-01, 3.779757028549541e+00
1, 9.990000128750000e-01, -1.454719679721942e-04, 1.190727675745376e+00, 6.956823031539232e-01, 1.017891717356658e-01, 3.417181728500227e+00
2, 9.977599978450000e-01, -3.275034273422668e-04, 1.182939450200073e+00, 7.469591050464714e-01, 1.114008728783073e-01, 3.404790159386871e+00
3, 9.960200190539999e-01, -5.899058206269627e-04, 1.170810546709102e+00, 7.653275609069303e-01, 1.191290472078788e-01, 3.374906747520285e+00
4, 9.937800168990000e-01, -9.470176879297908e-04, 1.163677851257267e+00, 7.723166441375037e-01, 1.292853098185611e-01, 3.356870118249704e+00
5, 9.910500049590000e-01, -1.421882985630658e-03, 1.158808346152564e+00, 7.788005776055329e-01, 1.439615428820568e-01, 3.345188592070169e+00
6, 9.878399968150000e-01, -2.045032353856478e-03, 1.151590099000834e+00, 7.850054829664027e-01, 1.623153564433576e-01, 3.327218747191536e+00
7, 9.841300249100000e-01, -2.852725256935417e-03, 1.140696293345211e+00, 7.949526375975181e-01, 1.825896574407297e-01, 3.300103264036647e+00
8, 9.799500107769999e-01, -3.857253333768422e-03, 1.124771226524549e+00, 8.101254361581196e-01, 2.016683520124407e-01, 3.260398215431070e+00
9, 9.752799868580000e-01, -5.055807038515077e-03, 1.103868026075765e+00, 8.305631486982883e-01, 2.156453886410058e-01, 3.208221484024035e+00
10, 9.701499938960000e-01, -6.401705796297967e-03, 1.079167961264540e+00, 8.546198365146335e-01, 2.212878414608601e-01, 3.146440839096012e+00
11, 9.645400047300000e-01, -7.836724776308146e-03, 1.053284746214001e+00, 8.790456134123407e-01, 2.170678471028545e-01, 3.081477419196248e+00
12, 9.584699869160000e-01, -9.285917867447509e-03, 1.030659774494781e+00, 9.002254962085279e-01, 2.041747965240926e-01, 3.024586121306500e+00
13, 9.519400000570000e-01, -1.069445697912554e-02, 1.015027534262748e+00, 9.156429381532055e-01, 1.863236118162119e-01, 2.985280979427538e+00
14, 9.449599981310000e-01, -1.203505708004803e-02, 1.007348060075067e+00, 9.246970836437211e-01, 1.681437030750864e-01, 2.966010665889016e+00
15, 9.375399947170000e-01, -1.331290389000767e-02, 1.005774782730116e+00, 9.284351350209585e-01, 1.532888961877557e-01, 2.962075652140141e+00
16, 9.296900033950000e-01, -1.455620319955744e-02, 1.007233639867291e+00, 9.289455183180706e-01, 1.433907031807373e-01, 2.965725442610164e+00
17, 9.214000105860000e-01, -1.580424878401209e-02, 1.008961390968026e+00, 9.283393625590323e-01, 1.381902989705230e-01, 2.970016421243994e+00
18, 9.126999974250000e-01, -1.708529342151385e-02, 1.009244901701532e+00, 9.280981198830383e-01, 1.363081738148605e-01, 2.970644366843113e+00
19, 9.035800099370001e-01, -1.842144161503616e-02, 1.007530499612330e+00, 9.288706577985628e-01, 1.361413987032164e-01, 2.966218628170850e+00
20, 8.940600156780000e-01, -1.981729186019135e-02, 1.004031485686503e+00, 9.307170220822167e-01, 1.364058248747568e-01, 2.957285620510303e+00
21, 8.841500282290000e-01, -2.126909844229794e-02, 9.992791310800067e-01, 9.333420635376477e-01, 1.363359758802598e-01, 2.945179451389177e+00
22, 8.738499879840000e-01, -2.276942908390644e-02, 9.938273883815729e-01, 9.363688679550033e-01, 1.356367118173628e-01, 2.931289319070467e+00
23, 8.631799817090000e-01, -2.430669212355924e-02, 9.881179156874177e-01, 9.395090047701976e-01, 1.343245012735668e-01, 2.916732422629530e+00
24, 8.521599769590000e-01, -2.587051688483065e-02, 9.823976987236118e-01, 9.425615184910241e-01, 1.325475910024875e-01, 2.902126016275805e+00
25, 8.407700061800000e-01, -2.745809201897302e-02, 9.767652591494548e-01, 9.454582164090237e-01, 1.304816643221317e-01, 2.887722536125092e+00
26, 8.290500044819999e-01, -2.905989915355811e-02, 9.712100800921858e-01, 9.481878508415127e-01, 1.282480606188513e-01, 2.873494172157752e+00
27, 8.170099854470000e-01, -3.067177649780976e-02, 9.656786464408272e-01, 9.507853039731025e-01, 1.259133790862408e-01, 2.859308688316001e+00
28, 8.046399950980000e-01, -3.229253932187229e-02, 9.601109055920143e-01, 9.532602867883071e-01, 1.234910790053394e-01, 2.845007965750404e+00
