"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633242182054561e-05, 1.321694341315554e+00, 6.900360246646697e-01, 1.003821781528536e-01, 3.779756922589042e+00
1, 9.990000128750000e-01, -1.454719494987003e-04, 1.190726782407194e+00, 6.956850089709652e-01, 1.017894969328924e-01, 3.417179712886888e+00
2, 9.977599978450000e-01, -3.275032247937410e-04, 1.182938053749176e+00, 7.469624409761568e-01, 1.114011010319397e-01, 3.404786910167558e+00
3, 9.960200190539999e-01, -5.899047275296064e-04, 1.170808609975751e+00, 7.653316903783468e-01, 1.191289701078517e-01, 3.374902175487878e+00
4, 9.937800168990000e-01, -9.470137417455278e-04, 1.163675371041891e+00, 7.723215281797706e-01, 1.292846045166511e-01, 3.356864187702086e+00
5, 9.910500049590000e-01, -1.421872092505986e-03, 1.158805464314517e+00, 7.788061516497169e-01, 1.439598497957425e-01, 3.345181667293754e+00
6, 9.878399968150000e-01, -2.045007635688147e-03, 1.151587025676408e+00, 7.850115054355767e-01, 1.623123517927207e-01, 3.327211344577768e+00
7, 9.841300249100000e-01, -2.852676900250349e-03, 1.140693324109882e+00, 7.949587416604503e-01, 1.825851513761166e-01, 3.300096116479105e+00
8, 9.799500107769999e-01, -3.857169977716943e-03, 1.124768724284980e+00, 8.101311346875723e-01, 2.016623491019903e-01, 3.260392220717433e+00
9, 9.752799868580000e-01, -5.055677608150060e-03, 1.103866383277116e+00, 8.305679364048697e-01, 2.156381682593052e-01, 3.208217618897060e+00
10, 9.701499938960000e-01, -6.401522578512465e-03, 1.079167551010086e+00, 8.546232991050382e-01, 2.212799539559397e-01, 3.146440042308567e+00
11, 9.645400047300000e-01, -7.836484957142530e-03, 1.053285860989132e+00, 8.790475692676978e-01, 2.170600377977200e-01, 3.081480451316272e+00
12, 9.584699869160000e-01, -9.285624469230935e-03, 1.030662344997066e+00, 9.002260901225893e-01, 2.041678038464750e-01, 3.024592827618107e+00
13, 9.519400000570000e-01, -1.069411740166699e-02, 1.015031020030344e+00, 9.156425678919203e-01, 1.863179113346238e-01, 2.985289992535291e+00
14, 9.449599981310000e-01, -1.203468068487919e-02, 1.007351741808024e+00, 9.246962365522782e-01, 1.681393733098696e-01, 2.966020161529665e+00
15, 9.375399947170000e-01, -1.331249928516402e-02, 1.005778097629478e+00, 9.284342458776003e-01, 1.532856796228413e-01, 2.962084210707344e+00
16, 9.296900033950000e-01, -1.455577631587076e-02, 1.007236323973298e+00, 9.289448625860155e-01, 1.433881830120361e-01, 2.965732402207193e+00
17, 9.214000105860000e-01, -1.580380215102478e-02, 1.008963444450687e+00, 9.283390370315248e-01, 1.381880725038771e-01, 2.970021785139231e+00
18, 9.126999974250000e-01, -1.708482667696631e-02, 1.009246484590802e+00, 9.280980920706118e-01, 1.363059529495661e-01, 2.970648541849557e+00
19, 9.035800099370001e-01, -1.842095241862712e-02, 1.007531810493264e+00, 9.288708372315343e-01, 1.361390299261534e-01, 2.966222117693090e+00
20, 8.940600156780000e-01, -1.981677705280230e-02, 1.004032698317765e+00, 9.307173101216037e-01, 1.364032611466679e-01, 2.957288864461172e+00
21, 8.841500282290000e-01, -2.126855484330432e-02, 9.992803719085361e-01, 9.333423797907757e-01, 1.363332336055378e-01, 2.945182769701257e+00
