"PointID","x","y"
0, 9.997500181200000e-01, -3.633201036321746e-05
1, 9.990000128750000e-01, -1.454459724699239e-04
2, 9.977599978450000e-01, -3.272183670067600e-04
3, 9.960200190539999e-01, -5.883670945083110e-04
4, 9.937800168990000e-01, -9.414609000374445e-04
5, 9.910500049590000e-01, -1.406536507846496e-03
6, 9.878399968150000e-01, -2.010185007457267e-03
7, 9.841300249100000e-01, -2.784487238874371e-03
8, 9.799500107769999e-01, -3.739471268030284e-03
9, 9.752799868580000e-01, -4.872591734583813e-03
10, 9.701499938960000e-01, -6.141718285174173e-03
11, 9.645400047300000e-01, -7.495298972983257e-03
12, 9.584699869160000e-01, -8.866383488628452e-03
13, 9.519400000570000e-01, -1.020610679605370e-02
14, 9.449599981310000e-01, -1.148979874380423e-02
15, 9.375399947170000e-01, -1.272149242168404e-02
16, 9.296900033950000e-01, -1.392557556073941e-02
17, 9.214000105860000e-01, -1.513650216569393e-02
18, 9.126999974250000e-01, -1.637844570150357e-02
19, 9.035800099370001e-01, -1.767065838252766e-02
20, 8.940600156780000e-01, -1.901654062058338e-02
21, 8.841500282290000e-01, -2.041225341464881e-02
22, 8.738499879840000e-01, -2.185083437353031e-02
23, 8.631799817090000e-01, -2.332147606615843e-02
24, 8.521599769590000e-01, -2.481455798056501e-02
25, 8.407700061800000e-01, -2.632765605665704e-02
26, 8.290500044819999e-01, -2.785197566507152e-02
27, 8.170099854470000e-01, -2.938392683022285e-02
28, 8.046399950980000e-01, -3.092288724932895e-02
29, 7.919700145720000e-01, -3.246327768342024e-02
30, 7.790099978450000e-01, -3.400191728217287e-02
31, 7.657799720760000e-01, -3.553421303407786e-02
32, 7.522799968720000e-01, -3.705767840962685e-02
33, 7.385200262070000e-01, -3.856847311226563e-02
34, 7.245299816130000e-01, -4.006058016761890e-02
35, 7.103199958800001e-01, -4.153025930854808e-02
36, 6.958900094030001e-01, -4.297485296904808e-02
37, 6.812700033190000e-01, -4.438883927535357e-02
38, 6.664699912070000e-01, -4.576896282750512e-02
39, 6.514999866490000e-01, -4.711216128092135e-02
40, 6.363800168040000e-01, -4.841473579129303e-02
41, 6.211299896240000e-01, -4.967335791373920e-02
42, 6.057599782940000e-01, -5.088581839017028e-02
43, 5.902799963950000e-01, -5.205012265260237e-02
44, 5.747100114820000e-01, -5.316377658585039e-02
45, 5.590599775310000e-01, -5.422526686751031e-02
46, 5.433599948880000e-01, -5.523197116024445e-02
47, 5.276100039480000e-01, -5.618344632759102e-02
48, 5.118399858470000e-01, -5.707753257732916e-02
49, 4.960500001910000e-01, -5.791393989429412e-02
50, 4.802699983120000e-01, -5.869081911693847e-02
51, 4.645099937920000e-01, -5.940745690409885e-02
52, 4.487800002100000e-01, -6.006307157886667e-02
53, 4.331099987030000e-01, -6.065606108215890e-02
54, 4.174999892710000e-01, -6.118595945055750e-02
55, 4.019699990750000e-01, -6.165142312203845e-02
56, 3.865399956700000e-01, -6.205108811960462e-02
57, 3.712300062180000e-01, -6.238355666802302e-02
58, 3.560400009160000e-01, -6.264770170275925e-02
59, 3.409900069240000e-01, -6.284178909147367e-02
60, 3.261100053790000e-01, -6.296399056182311e-02
61, 3.113999962810000e-01, -6.301268292189742e-02
62, 2.968699932100000e-01, -6.298588929277249e-02
63, 2.825500071050000e-01, -6.288163898249663e-02
64, 2.684499919410000e-01, -6.269792528651633e-02
65, 2.545700073240000e-01, -6.243238433011516e-02
66, 2.409400045870000e-01, -6.208313516382854e-02
67, 2.275699973110000e-01, -6.164801925833161e-02
68, 2.144699990750000e-01, -6.112482406309813e-02
69, 2.016600072380000e-01, -6.051182426782783e-02
70, 1.891400069000000e-01, -5.980641812915611e-02
71, 1.769299954180000e-01, -5.900707975880646e-02
72, 1.650400012730000e-01, -5.811191845563011e-02
73, 1.534900069240000e-01, -5.712005016628653e-02
74, 1.422899961470000e-01, -5.603015024634347e-02
75, 1.314399987460000e-01, -5.483993542978705e-02
76, 1.209499984980000e-01, -5.354809242111155e-02
77, 1.108499988910000e-01, -5.215641368826382e-02
78, 1.011300012470000e-01, -5.066175119092572e-02
79, 9.181000292300000e-02, -4.906534253980128e-02
80, 8.290000259900000e-02, -4.736751062010872e-02
81, 7.440000027400000e-02, -4.556679773872652e-02
82, 6.633000075800000e-02, -4.366625161038801e-02
83, 5.869000032500000e-02, -4.166498045083099e-02
84, 5.149000138000000e-02, -3.956469267657722e-02
85, 4.473999887700000e-02, -3.736783156385807e-02
86, 3.844000026600000e-02, -3.507394112971404e-02
87, 3.260000050100000e-02, -3.268624499292156e-02
88, 2.723000012300000e-02, -3.020922696000061e-02
89, 2.232000045500000e-02, -2.763798022318729e-02
90, 1.789999939500000e-02, -2.498932791092624e-02
91, 1.394999958600000e-02, -2.225280966441890e-02
92, 1.049000024800000e-02, -1.944350791998340e-02
93, 7.519999985000000e-03, -1.656580338671767e-02
94, 5.040000193000000e-03, -1.362455264004771e-02
95, 3.049999941000000e-03, -1.062464662217645e-02
96, 1.560000004000000e-03, -7.593035207890612e-03
97, 5.600000150000000e-04, -4.521955182147166e-03
98, 5.999999800000000e-05, -1.452209008074528e-03
99, 0.000000000000000e+00, 0.000000000000000e+00
100, 5.999999800000000e-05, 1.356117936139699e-03
101, 5.600000150000000e-04, 4.031717332388166e-03
102, 1.560000004000000e-03, 6.557352036631713e-03
103, 3.049999941000000e-03, 8.939912189075446e-03
104, 5.040000193000000e-03, 1.120686549217553e-02
105, 7.519999985000000e-03, 1.335241187237806e-02
106, 1.049000024800000e-02, 1.538496205361786e-02
107, 1.394999958600000e-02, 1.731108338022673e-02
108, 1.789999939500000e-02, 1.913656655944234e-02
109, 2.232000045500000e-02, 2.085961338411238e-02
110, 2.723000012300000e-02, 2.249460794735021e-02
111, 3.260000050100000e-02, 2.403792544676836e-02
