"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633214858845617e-05, 5.724071374599081e-01, -1.321478593703472e+00, -1.345064929465461e-01, 3.564298253508328e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.300662639187825e+00
1, 9.990000128750000e-01, -1.454547005935436e-04, 4.052063238558809e-02, -2.138349835963969e-01, -9.886953431145901e-02, 3.306020056949413e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.346526720213927e+00
2, 9.977599978450000e-01, -3.273141054461319e-04, 1.436868573633384e-02, -1.256055647778849e-01, -1.359021460440802e-01, 1.997486802204543e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.104350236482071e-01
3, 9.960200190539999e-01, -5.888841250333482e-04, -1.868808665563982e-02, -6.005101514431190e-02, -1.313923301627358e-01, 7.025202650341608e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.053835005712040e-01
4, 9.937800168990000e-01, -9.433293878972610e-04, -5.140206345892732e-02, -3.999685755111094e-04, -1.394868642601384e-01, -5.948455675604315e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.923879267713664e-02
5, 9.910500049590000e-01, -1.411702200974749e-03, -6.706713501045408e-02, 2.970125892473786e-02, -1.523338420557194e-01, -1.157810700404179e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.909263278925514e-02
6, 9.878399968150000e-01, -2.021932110551110e-03, -7.324031195729278e-02, 4.488180314130941e-02, -1.697926420582521e-01, -1.432017461913589e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.924814726431667e-02
7, 9.841300249100000e-01, -2.807537917425455e-03, -6.883650211751005e-02, 4.416006866069247e-02, -1.907010210135290e-01, -1.401744974761985e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.208055915804608e-02
8, 9.799500107769999e-01, -3.779370407502561e-03, -5.302993852070598e-02, 2.679905736577099e-02, -2.122045149738111e-01, -1.061373177438326e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.598376217384395e-02
9, 9.752799868580000e-01, -4.934896118284455e-03, -2.644459241505796e-02, -6.115361039546004e-03, -2.303899314590830e-01, -4.308533203876141e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.995124027137422e-02
10, 9.701499938960000e-01, -6.230588464162477e-03, 8.292134843968917e-03, -5.068154174860742e-02, -2.411659292299203e-01, 4.217732358556282e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.418702171572117e-02
11, 9.645400047300000e-01, -7.612816324300714e-03, 4.627693106902984e-02, -1.001056258089045e-01, -2.414918413336137e-01, 1.370297171950486e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.539755539233024e-03
12, 9.584699869160000e-01, -9.012103326198459e-03, 8.047134776246526e-02, -1.451939961740760e-01, -2.307558062734375e-01, 2.235947156308209e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.853154053242257e-03
13, 9.519400000570000e-01, -1.037772681362138e-02, 1.042257646120336e-01, -1.773988323887224e-01, -2.119505733946082e-01, 2.838899707818885e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.122642745807749e-03
14, 9.449599981310000e-01, -1.168424665619169e-02, 1.143677115491523e-01, -1.925056933693440e-01, -1.905027871335283e-01, 3.091315069945724e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.443147899265241e-03
15, 9.375399947170000e-01, -1.293615315433331e-02, 1.131080123148848e-01, -1.928591611039590e-01, -1.717044604415356e-01, 3.046100235331576e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.672533607231214e-03
16, 9.296900033950000e-01, -1.415915720211933e-02, 1.062468813068435e-01, -1.853095603801956e-01, -1.585423964342028e-01, 2.851844067239532e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.797568615021423e-03
17, 9.214000105860000e-01, -1.538938271340091e-02, 9.922090896126877e-02, -1.766762473698190e-01, -1.510885995657427e-01, 2.656126232227738e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.690368639414499e-03
18, 9.126999974250000e-01, -1.665238766564387e-02, 9.547425488987701e-02, -1.714134831789668e-01, -1.480322467565178e-01, 2.544003398168524e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.930914236384015e-03
19, 9.035800099370001e-01, -1.796844186687772e-02, 9.572128062804146e-02, -1.707064316581053e-01, -1.474143106306670e-01, 2.539761178133210e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.095254376427016e-03
20, 8.940600156780000e-01, -1.934139304703883e-02, 9.961835793907602e-02, -1.743248476494291e-01, -1.477199977126988e-01, 2.629723764277312e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.243807071408333e-03
21, 8.841500282290000e-01, -2.076749320808187e-02, 1.061005692453156e-01, -1.810701293466615e-01, -1.479414803481851e-01, 2.788088663301186e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.522658061110432e-03
22, 8.738499879840000e-01, -2.223968954141739e-02, 1.140377834129642e-01, -1.896296955789601e-01, -1.475596888012008e-01, 2.985558129877086e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.009981910046820e-03
23, 8.631799817090000e-01, -2.374693506375404e-02, 1.226987067118099e-01, -1.990858651698631e-01, -1.465737966175254e-01, 3.200186194487895e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.609856298981543e-03
24, 8.521599769590000e-01, -2.527934492903685e-02, 1.314459301482250e-01, -2.086871954682218e-01, -1.450155432823382e-01, 3.419090393513682e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.388466559133334e-03
25, 8.407700061800000e-01, -2.683436563911343e-02, 1.401934877265847e-01, -2.182781795609946e-01, -1.431495721702710e-01, 3.635926489099558e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.212572529986852e-03
26, 8.290500044819999e-01, -2.840281985795677e-02, 1.488165770712857e-01, -2.277183549723196e-01, -1.410554681393931e-01, 3.851736874366991e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.101895186283796e-03
27, 8.170099854470000e-01, -2.998076963000066e-02, 1.574754592959653e-01, -2.371678903296598e-01, -1.388536151139082e-01, 4.067849707337578e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.973968568022054e-03
28, 8.046399950980000e-01, -3.156722241541219e-02, 1.662876071150411e-01, -2.467510968799811e-01, -1.365693900484144e-01, 4.287930377850727e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.778770454413721e-03
29, 7.919700145720000e-01, -3.315596081489415e-02, 1.753289510414010e-01, -2.565789478935294e-01, -1.341630507724244e-01, 4.514793392365069e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.532629717989283e-03
30, 7.790099978450000e-01, -3.474312994252193e-02, 1.847288681434155e-01, -2.667680708985581e-01, -1.316596536312034e-01, 4.749194856101917e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.277402845123353e-03
31, 7.657799720760000e-01, -3.632332943299444e-02, 1.944072852041061e-01, -2.772509250116852e-01, -1.289696958078027e-01, 4.991954547722510e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.171462271925090e-03
32, 7.522799968720000e-01, -3.789326598648859e-02, 2.043860591108790e-01, -2.880368426715197e-01, -1.261022874720860e-01, 5.241654871240452e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.173323945702343e-03
33, 7.385200262070000e-01, -3.944820965194598e-02, 2.145104840629029e-01, -2.989635342384858e-01, -1.229845762214181e-01, 5.496962755260695e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.208204026577567e-03
34, 7.245299816130000e-01, -4.098118486712185e-02, 2.247601483458632e-01, -3.099948596816774e-01, -1.196325758712325e-01, 5.754665251535755e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.164388368351398e-03
35, 7.103199958800001e-01, -4.248758777687914e-02, 2.350058036232281e-01, -3.209917474570088e-01, -1.160070440818322e-01, 6.013158367518996e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.074874282561074e-03
36, 6.958900094030001e-01, -4.396397363128526e-02, 2.452688172148451e-01, -3.319705390529984e-01, -1.121501787040746e-01, 6.271297109700966e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.011132865574328e-04
37, 6.812700033190000e-01, -4.540405381047197e-02, 2.554929246456490e-01, -3.428767013828217e-01, -1.080412681815447e-01, 6.528977256078586e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.178388748971702e-04
