"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.404309       , 0.001           
1               , -0.262178       , 0.001           
2               , -0.141951       , 0.001           
3               , -0.062142       , 0.001           
4               , -0.0230732      , 0.001           
5               , -0.0177413      , 0.001           
6               , -0.0345499      , 0.001           
7               , -0.0595861      , 0.001           
8               , -0.0797051      , 0.001           
9               , -0.0861129      , 0.001           
10              , -0.0771685      , 0.001           
11              , -0.0586653      , 0.001           
12              , -0.0404858      , 0.001           
13              , -0.0306864      , 0.001           
14              , -0.0309071      , 0.001           
15              , -0.0373819      , 0.001           
16              , -0.0466094      , 0.001           
17              , -0.0581278      , 0.001           
18              , -0.0777005      , 0.001           
19              , -0.341657       , 0.001           
20              , -0.00295898     , 0.001           
21              , 0.162098        , 0.001           
22              , 0.209794        , 0.001           
23              , 0.184245        , 0.001           
24              , 0.118744        , 0.001           
25              , 0.0380428       , 0.001           
26              , -0.0395924      , 0.001           
27              , -0.10059        , 0.001           
28              , -0.135019       , 0.001           
29              , -0.136909       , 0.001           
30              , -0.10632        , 0.001           
31              , -0.0523798      , 0.001           
32              , 0.00592126      , 0.001           
33              , 0.0463996       , 0.001           
34              , 0.0589685       , 0.001           
35              , 0.0554685       , 0.001           
36              , 0.054814        , 0.001           
37              , 0.071052        , 0.001           
