"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,          76,      -7.235768308,       -6.97193361,      -7.426501191,      -7.685464881
          0,           0,          77,      -7.256763714,      -6.992706728,       -7.45574634,      -7.709206804
          0,           0,          78,      -7.276821058,      -7.009433798,      -7.484173586,      -7.729785845
          0,           0,          79,      -7.296861207,      -7.023484473,      -7.511217289,       -7.74795073
          0,           0,          80,      -7.317585079,      -7.036395473,      -7.536588922,      -7.764735664
          0,           0,          81,      -7.339356642,      -7.049476148,      -7.560382034,      -7.781175335
          0,           0,          82,      -7.362183574,      -7.063616393,      -7.583033342,      -7.798113064
          0,           0,          83,       -7.38575677,      -7.079253719,      -7.605171571,      -7.816111352
          0,           0,          84,      -7.409521541,      -7.096424434,      -7.627429129,      -7.835433771
          0,           0,          85,      -7.432771242,      -7.114848926,      -7.650281145,      -7.856067834
          0,           0,          86,       -7.45476084,      -7.134029237,      -7.673944826,      -7.877770872
          0,           0,          87,      -7.474831202,       -7.15335122,      -7.698343495,      -7.900129917
          0,           0,          88,      -7.492520474,      -7.172184601,      -7.723124125,      -7.922628859
          0,           0,          89,       -7.50763053,      -7.189969405,      -7.747715391,      -7.944714385
          0,           0,          90,      -7.520227994,      -7.206275561,      -7.771419691,      -7.965852306
          0,           0,          91,      -7.530588717,      -7.220829687,      -7.793535791,      -7.985571157
          0,           0,          92,      -7.539119785,      -7.233515655,      -7.813497527,      -8.003497058
          0,           0,          93,      -7.546294434,      -7.244363808,      -7.830992182,      -8.019386461
          0,           0,          94,       -7.55261541,      -7.253541031,      -7.846013722,       -8.03315869
          0,           0,          95,      -7.558600203,      -7.261343413,      -7.858830895,      -8.044921227
          0,           0,          96,      -7.564772359,      -7.268184483,      -7.869892846,      -8.054974973
          0,           0,          97,      -7.571647721,      -7.274571523,      -7.879719716,      -8.063790486
          0,           0,          98,       -7.57971389,      -7.281068921,      -7.888818416,      -8.071958053
          0,           0,          99,      -7.589407238,      -7.288254347,      -7.897640128,      -8.080125516
          0,           0,         100,      -7.601092696,      -7.296676299,      -7.906575488,      -8.088940836
          0,           0,         101,      -7.615049597,       -7.30681987,      -7.915973053,      -8.099011873
          0,           0,         102,      -7.631463986,      -7.319083377,      -7.926165902,      -8.110888013
          0,           0,         103,      -7.650423141,      -7.333762525,      -7.937497474,      -8.125057114
          0,           0,         104,      -7.671896991,      -7.351029678,      -7.950343585,      -8.141923944
          0,           0,         105,       -7.69567213,      -7.370886091,      -7.965108334,      -8.161679372
          0,           0,         106,      -7.721227183,      -7.393093146,      -7.982097936,      -8.184013413
          0,           0,         107,      -7.747709875,      -7.417190888,      -8.001256465,      -8.208122191
          0,           0,         108,      -7.774190386,      -7.442639017,      -8.022226601,      -8.233416559
          0,           0,         109,      -7.799912678,      -7.468889718,       -8.04466327,      -8.259713557
          0,           0,         110,      -7.824385899,      -7.495446834,      -8.068129827,      -8.286812782
          0,           0,         111,      -7.847382952,      -7.521919456,      -8.092147874,      -8.314471135
          0,           0,         112,      -7.868831269,       -7.54796335,      -8.116388742,      -8.342356585
          0,           0,         113,      -7.888716131,      -7.573236181,      -8.140638742,      -8.369985637
          0,           0,         114,      -7.907068952,      -7.597431689,      -8.164697748,      -8.396843162
          0,           0,         115,      -7.924001493,      -7.620334713,      -8.188341406,       -8.42252813
          0,           0,         116,      -7.939729323,      -7.641856379,      -8.211342269,       -8.44682215
          0,           0,         117,      -7.954568668,      -7.662046768,      -8.233502882,      -8.469682555
          0,           0,         118,       -7.96891505,       -7.68109172,      -8.254682682,      -8.491210731
          0,           0,         119,      -7.983207756,      -7.699291275,      -8.274832682,      -8.511622319
          0,           0,         120,      -7.997886312,      -7.717020101,      -8.294027315,      -8.531213577
          0,           0,         121,      -8.013350891,      -7.734682086,      -8.312467033,      -8.550327204
          0,           0,         122,      -8.029936543,      -7.752672728,      -8.330444006,      -8.569325157
          0,           0,         123,         -8.047904,       -7.77135523,      -8.348282508,      -8.588566127
          0,           0,         124,      -8.067442217,       -7.79104835,      -8.366276545,      -8.608382613
          0,           0,         125,      -8.088673973,      -7.812020416,      -8.384649965,      -8.629058597
          0,           0,         126,      -8.111657988,      -7.834484558,      -8.403551088,      -8.650812558
          0,           0,         127,      -8.136386384,      -7.858592998,      -8.423072502,      -8.673788114
          0,           0,         128,      -8.162780303,      -7.884430569,      -8.443275768,      -8.698050384
          0,           0,         129,      -8.190687131,      -7.912008465,      -8.464206097,       -8.72358435
          0,           0,         130,      -8.219881421,      -7.941259114,      -8.485893777,      -8.750292663
          0,           0,         131,      -8.250070677,      -7.972033162,      -8.508347492,      -8.777993847
          0,           0,         132,      -8.280908526,      -8.004100955,      -8.531547524,      -8.806427655
          0,           0,         133,      -8.312021021,      -8.037163749,      -8.555445702,      -8.835280268
          0,           0,         134,      -8.343053719,      -8.070882247,      -8.579974089,      -8.864241434
          0,           0,         135,       -8.37373972,      -8.104926624,      -8.605055842,      -8.893086927
