"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -5.228641735,      -5.007564201,      -5.269403991,      -5.191278203
          0,           0,           1,      -5.056084278,      -5.008598449,       -4.95705801,      -5.458331041
          0,           0,           2,      -4.965864613,      -4.880045634,      -5.056732004,      -5.456987862
          0,           0,           3,      -4.997108401,      -4.893729155,      -5.070043869,      -5.457877432
          0,           0,           4,      -4.977486479,      -4.879442224,      -5.103826305,      -5.479549233
          0,           0,           5,      -4.976822998,      -4.862083106,      -5.146468487,      -5.458698508
          0,           0,           6,      -4.985900075,      -4.861502155,       -5.17697753,      -5.481526561
          0,           0,           7,      -4.988680742,      -4.856658598,      -5.220734627,      -5.505921875
          0,           0,           8,      -5.002794287,      -4.852548495,       -5.26841161,      -5.510587387
          0,           0,           9,      -5.013975009,      -4.848722463,      -5.316716696,      -5.520463819
          0,           0,          10,      -5.020678708,      -4.845560548,       -5.35536275,      -5.531851863
          0,           0,          11,      -5.029930643,      -4.845864463,      -5.363882018,      -5.539039671
          0,           0,          12,      -5.037585226,      -4.848241119,      -5.360385759,      -5.545310871
          0,           0,          13,      -5.040546635,      -4.852047991,      -5.359464142,      -5.553090753
          0,           0,          14,      -5.041707669,      -4.858917347,      -5.357381525,      -5.562713858
          0,           0,          15,      -5.043560163,      -4.869502425,      -5.351618671,       -5.57424349
          0,           0,          16,      -5.045893455,      -4.882128071,       -5.34409816,      -5.586672746
          0,           0,          17,      -5.047498557,      -4.893188118,      -5.335651594,      -5.596929748
          0,           0,          18,      -5.047106962,      -4.897803919,       -5.32537747,      -5.600616507
          0,           0,          19,      -5.043356733,      -4.891332502,      -5.312616556,      -5.594180127
          0,           0,          20,      -5.035137404,       -4.87185937,       -5.29787375,      -5.577043742
          0,           0,          21,      -5.022367764,      -4.841563532,      -5.282584987,      -5.551937069
          0,           0,          22,      -5.006344346,      -4.805323216,      -5.268498607,      -5.523236834
          0,           0,          23,      -4.989275215,      -4.768162332,      -5.257111619,      -5.495013946
          0,           0,          24,      -4.973462709,      -4.733759612,      -5.249346198,      -5.470107558
          0,           0,          25,      -4.960727873,      -4.704285209,       -5.24550185,       -5.45012716
          0,           0,          26,      -4.952242799,      -4.680811029,       -5.24540216,      -5.435814057
          0,           0,          27,       -4.94863107,      -4.663761479,      -5.248630739,      -5.427437728
          0,           0,          28,       -4.95017754,      -4.653249341,      -5.254798955,      -5.425186663
          0,           0,          29,      -4.957088162,      -4.649318095,      -5.263893879,      -5.429810164
          0,           0,          30,      -4.969490559,      -4.651904829,       -5.27715235,      -5.444298199
          0,           0,          31,      -4.981262804,      -4.656764474,      -5.291146258,       -5.45682537
          0,           0,          32,      -4.995767276,      -4.667240349,      -5.295907233,      -5.462336278
          0,           0,          33,      -5.013209221,      -4.682449279,      -5.311898695,      -5.481138471
          0,           0,          34,      -5.034162687,      -4.702181873,      -5.330592151,      -5.501961884
          0,           0,          35,        -5.0595302,      -4.727634189,      -5.352556533,      -5.530461335
          0,           0,          36,      -5.088896773,      -4.758051865,      -5.379146082,      -5.564786092
          0,           0,          37,      -5.120393715,      -4.792082349,       -5.41114609,      -5.601967797
          0,           0,          38,      -5.153009574,       -4.82878989,      -5.448094564,      -5.641450049
          0,           0,          39,      -5.186343892,       -4.86770187,      -5.487979656,      -5.683544782
          0,           0,          40,      -5.219861667,      -4.908210833,      -5.530041891,        -5.7279503
          0,           0,          41,      -5.253119495,      -4.949542999,      -5.573656907,       -5.77340307
          0,           0,          42,      -5.285915246,      -4.991025249,      -5.617355117,      -5.818577672
          0,           0,          43,      -5.318207334,      -5.032150884,      -5.659620797,      -5.862371295
          0,           0,          44,      -5.350051229,      -5.072548821,      -5.699299651,      -5.903751818
          0,           0,          45,      -5.381542217,      -5.111953448,      -5.735453964,      -5.941829953
          0,           0,          46,      -5.412723427,       -5.15014496,      -5.767332537,      -5.975995993
          0,           0,          47,      -5.443499237,      -5.186862347,      -5.794571198,      -6.005947151
          0,           0,          48,      -5.473599873,      -5.221732097,      -5.817354863,      -6.031652803
          0,           0,          49,      -5.502602507,      -5.254241713,      -5.836352448,      -6.053319733
          0,           0,          50,      -5.529993636,       -5.28376429,      -5.852488064,      -6.071340065
          0,           0,          51,      -5.555259018,      -5.309638111,      -5.866707609,      -6.086208486
          0,           0,          52,      -5.577991906,      -5.331305165,      -5.879830661,      -6.098444735
          0,           0,          53,      -5.598005742,      -5.348489953,      -5.892494236,      -6.108562367
          0,           0,          54,      -5.615423371,      -5.361359463,      -5.905158884,      -6.117089072
          0,           0,          55,      -5.630706479,      -5.370585838,      -5.918146166,      -6.124612711
          0,           0,          56,      -5.644603953,      -5.377269972,      -5.931691228,      -6.131823844
          0,           0,          57,      -5.658031135,      -5.382757018,      -5.946007736,      -6.139546916
          0,           0,          58,      -5.671908107,      -5.388415244,      -5.961367032,      -6.148790189
          0,           0,          59,       -5.68689906,      -5.395377716,      -5.978144852,      -6.160865952
          0,           0,          60,      -5.702269314,      -5.403695404,      -5.995681503,       -6.17655008
          0,           0,          61,      -5.714091753,      -5.411194027,      -6.005103614,      -6.184776247
          0,           0,          62,      -5.730563245,      -5.424639615,      -6.013572189,      -6.194361448
          0,           0,          63,      -5.752877927,      -5.443746802,      -6.031645325,      -6.214117149
          0,           0,          64,      -5.781392182,      -5.469615717,      -6.053726988,      -6.240005979
          0,           0,          65,      -5.813852635,      -5.501484477,      -6.078110547,      -6.272637937
          0,           0,          66,      -5.846735874,      -5.536895974,      -6.108044447,      -6.307837617
          0,           0,          67,      -5.878056236,      -5.574788538,      -6.141160476,      -6.345358719
          0,           0,          68,      -5.907104102,       -5.61445534,      -6.174323809,      -6.385513702
          0,           0,          69,      -5.933259723,      -5.654576055,      -6.206295126,      -6.426465346
          0,           0,          70,      -5.956147292,      -5.693234317,      -6.236538599,      -6.465338618
          0,           0,          71,      -5.975727707,      -5.728222742,      -6.263989024,      -6.499267885
          0,           0,          72,      -5.992215991,         -5.757402,      -6.287349959,      -6.525853425
          0,           0,          73,      -6.006073002,      -5.779213686,      -6.305826074,       -6.54360042
          0,           0,          74,      -6.017923046,       -5.79320048,      -6.319369702,      -6.552547388
          0,           0,          75,      -6.028390034,      -5.800126295,      -6.328534196,      -6.554312276
          0,           0,          76,      -6.037962162,      -5.801584959,      -6.334283829,      -6.551323132
          0,           0,          77,      -6.046945762,      -5.799423272,      -6.337808209,      -6.545942293
          0,           0,          78,      -6.055494715,      -5.795316882,      -6.340313678,       -6.54002199
          0,           0,          79,      -6.063674307,      -5.790587875,      -6.342842078,      -6.534843874
          0,           0,          80,      -6.071523735,      -5.786191409,      -6.346177181,      -6.531219285
          0,           0,          81,      -6.079101875,      -5.782780709,       -6.35084144,      -6.529620211
          0,           0,          82,       -6.08651472,      -5.780792315,      -6.357144165,      -6.530297804
          0,           0,          83,      -6.093927543,      -5.780523498,      -6.365242495,      -6.533376675
          0,           0,          84,      -6.101566175,      -5.782192702,      -6.375195389,      -6.538924653
          0,           0,          85,      -6.109713449,      -5.785984374,      -6.387005201,      -6.547006829
          0,           0,          86,      -6.118710418,      -5.792085303,       -6.40064927,      -6.557744166
          0,           0,          87,      -6.128980553,      -5.800724307,      -6.416118057,      -6.571425253
          0,           0,          88,      -6.141102748,       -5.81222229,      -6.433549172,      -6.588792061
          0,           0,          89,      -6.155763068,      -5.826900833,      -6.453866796,      -6.611376159
          0,           0,          90,      -6.172167663,      -5.844085436,       -6.47906744,      -6.637868977
          0,           0,          91,      -6.188078308,      -5.862811535,      -6.504757526,      -6.661500712
          0,           0,          92,       -6.20426514,      -5.883772962,      -6.528809331,      -6.686685107
          0,           0,          93,      -6.220639896,      -5.906524183,      -6.553157319,      -6.714385351
          0,           0,          94,      -6.237854017,       -5.93153707,      -6.577897409,      -6.744732094
          0,           0,          95,      -6.257182752,      -5.959689458,      -6.602340651,      -6.779086588
          0,           0,          96,      -6.278850387,      -5.990981573,      -6.626284058,      -6.816682389
          0,           0,          97,      -6.302041871,      -6.024646002,      -6.651123521,      -6.855671135
          0,           0,          98,      -6.325868927,        -6.0597244,      -6.676814778,      -6.894501205
          0,           0,          99,      -6.349547192,      -6.095063325,      -6.701849034,      -6.931674836
          0,           0,         100,      -6.372269787,      -6.129077016,      -6.724853092,      -6.965025774
          0,           0,         101,      -6.393293414,      -6.159812852,       -6.74483425,       -6.99193611
          0,           0,         102,      -6.412077472,      -6.185306197,      -6.761100422,      -7.010281332
          0,           0,         103,      -6.428360365,      -6.204073707,      -6.773460984,      -7.019276822
          0,           0,         104,      -6.442185986,      -6.215587467,      -6.782202572,      -7.019796519
          0,           0,         105,      -6.453871303,      -6.220463905,       -6.78787055,      -7.014000865
          0,           0,         106,      -6.463914556,      -6.220218603,       -6.79115419,      -7.004529184
          0,           0,         107,      -6.472885929,      -6.216759353,       -6.79287541,      -6.993792877
          0,           0,         108,       -6.48134338,      -6.211921467,      -6.793949181,      -6.983650595
          0,           0,         109,      -6.489786597,      -6.207208471,       -6.79528292,      -6.975390009
          0,           0,         110,      -6.498640291,      -6.203724289,      -6.797672747,      -6.969841206
          0,           0,         111,      -6.508253822,      -6.202214677,      -6.801750023,      -6.967513407
          0,           0,         112,      -6.518908796,      -6.203148576,      -6.807987341,      -6.968722166
          0,           0,         113,      -6.530830857,      -6.206801737,       -6.81675087,      -6.973717897
          0,           0,         114,      -6.544199487,      -6.213325223,      -6.828403505,      -6.982869621
          0,           0,         115,      -6.559101752,      -6.222764607,      -6.843526185,      -6.997053981
          0,           0,         116,      -6.574915074,      -6.234728752,      -6.863137736,       -7.01807116
          0,           0,         117,      -6.587517595,      -6.246695832,      -6.882141889,      -7.039223791
          0,           0,         118,      -6.599160085,       -6.26000674,      -6.889972568,      -7.045364147
          0,           0,         119,      -6.615036789,      -6.277546331,      -6.903945351,      -7.060615738
          0,           0,         120,      -6.635304586,      -6.298776911,      -6.927108882,      -7.083213871
          0,           0,         121,      -6.660764383,      -6.325062407,      -6.952968861,      -7.112947586
          0,           0,         122,       -6.68949019,       -6.35506808,      -6.983038873,      -7.146910852
          0,           0,         123,      -6.719271464,       -6.38752489,      -7.018157225,      -7.182014741
          0,           0,         124,      -6.749537175,      -6.422125484,      -7.055476744,      -7.219188386
          0,           0,         125,       -6.78046217,      -6.458974449,      -7.093216384,      -7.259593923
          0,           0,         126,      -6.811998045,      -6.498023666,      -7.131577489,      -7.302956742
          0,           0,         127,      -6.843973777,      -6.538969161,       -7.17048582,      -7.348138877
          0,           0,         128,      -6.876080362,      -6.581358522,      -7.208726723,      -7.394171027
          0,           0,         129,      -6.907804723,      -6.624498454,      -7.244981207,      -7.440047321
          0,           0,         130,      -6.938530713,      -6.667299973,      -7.278381207,      -7.484048368
          0,           0,         131,      -6.967617203,      -6.708212241,      -7.308211378,      -7.523741166
          0,           0,         132,      -6.994413042,      -6.745266369,      -7.333692112,      -7.556501261
          0,           0,         133,      -7.018298222,       -6.77631386,      -7.354206921,      -7.580229242
          0,           0,         134,      -7.038790483,      -6.799543768,      -7.369645626,      -7.594080032
          0,           0,         135,      -7.055676973,      -6.814130983,       -7.38049825,      -7.598839953
          0,           0,         136,      -7.069098193,      -6.820613383,      -7.387670394,      -7.596627691
          0,           0,         137,      -7.079538406,       -6.82070463,      -7.392224209,      -7.590116183
          0,           0,         138,      -7.087733968,      -6.816691441,       -7.39520472,      -7.581807168
          0,           0,         139,      -7.094546357,      -6.810823389,      -7.397564088,      -7.573669096
          0,           0,         140,      -7.100844258,      -6.804957691,      -7.400134676,      -7.567094462
          0,           0,         141,      -7.107419105,      -6.800464107,      -7.403619756,      -7.563007417
          0,           0,         142,      -7.114939907,       -6.79827928,      -7.408595679,      -7.562002122
          0,           0,         143,        -7.1239424,      -6.799012414,      -7.415526957,      -7.564466769
          0,           0,         144,      -7.134845506,      -6.803052199,      -7.424797035,      -7.570695762
          0,           0,         145,      -7.147995935,      -6.810663624,       -7.43677041,        -7.5810383
          0,           0,         146,      -7.163766915,      -6.822092213,       -7.45198194,      -7.596290598
          0,           0,         147,      -7.182698995,      -6.837660902,      -7.472095538,      -7.619356091
          0,           0,         148,      -7.202167079,      -6.855750799,       -7.50087105,      -7.652989027
          0,           0,         149,      -7.218090355,      -6.874119988,      -7.514444803,      -7.664976041
          0,           0,         150,      -7.237926736,      -6.897338455,      -7.530984141,      -7.686808683
          0,           0,         151,      -7.258988128,      -6.922792743,      -7.556452774,      -7.714059645
          0,           0,         152,      -7.283421958,      -6.952762269,       -7.58504615,      -7.747891541
          0,           0,         153,      -7.311529926,      -6.987338897,      -7.615393262,      -7.788800549
          0,           0,         154,      -7.341225788,      -7.025054847,       -7.64960925,      -7.831850221
          0,           0,         155,      -7.371142626,      -7.064899638,      -7.687047657,      -7.875872051
          0,           0,         156,      -7.400856801,       -7.10633559,       -7.72458824,      -7.921442344
          0,           0,         157,      -7.429688995,      -7.148444917,      -7.760645724,      -7.967714373
          0,           0,         158,      -7.456779494,      -7.189582115,      -7.794635405,       -8.01171513
          0,           0,         159,      -7.481412769,      -7.227671742,      -7.824920339,      -8.049934741
          0,           0,         160,      -7.503020562,      -7.260475394,      -7.849703811,      -8.079409751
          0,           0,         161,      -7.521231705,      -7.285923901,      -7.868300881,      -8.098072011
          0,           0,         162,      -7.535976859,      -7.302732463,      -7.880912512,      -8.105537219
          0,           0,         163,      -7.547495457,       -7.31092432,      -7.888121671,      -8.103491356
          0,           0,         164,      -7.556248505,      -7.311811835,      -7.890839013,      -8.094916759
          0,           0,         165,      -7.562820035,      -7.307476848,      -7.890333718,      -8.082922723
          0,           0,         166,      -7.567852141,      -7.300144997,      -7.888044725,      -8.070041945
          0,           0,         167,      -7.572004318,       -7.29175969,       -7.88529813,      -8.058068998
          0,           0,         168,      -7.575917706,       -7.28381349,      -7.883137283,      -8.048163223
          0,           0,         169,      -7.580181861,      -7.277355487,      -7.882304583,      -8.041017107
          0,           0,         170,      -7.585311534,      -7.273077786,      -7.883301873,      -8.037013907
          0,           0,         171,       -7.59173765,      -7.271417394,      -7.886463248,      -8.036353529
          0,           0,         172,      -7.599811249,      -7.272644374,      -7.892016996,      -8.039146749
          0,           0,         173,      -7.609818104,      -7.276929807,      -7.900139013,      -8.045492258
          0,           0,         174,      -7.622005128,      -7.284398998,      -7.911013261,       -8.05557181
          0,           0,         175,      -7.636627035,      -7.295181896,      -7.924950674,      -8.069866726
          0,           0,         176,      -7.654005568,      -7.309462106,      -7.942799316,      -8.089896662
          0,           0,         177,      -7.673801957,      -7.327077731,      -7.967380665,      -8.120029259
          0,           0,         178,      -7.689435395,       -7.34416515,      -7.989847118,      -8.145051728
          0,           0,         179,      -7.706913964,      -7.364345225,       -7.99811966,      -8.155029052
          0,           0,         180,      -7.726675725,      -7.387415412,      -8.018315925,      -8.177669593
          0,           0,         181,      -7.750327355,      -7.414291375,      -8.044644022,      -8.206124855
          0,           0,         182,       -7.77873599,      -7.446267542,      -8.073181638,      -8.242754337
          0,           0,         183,      -7.810705833,       -7.48228228,      -8.105685836,      -8.283730865
          0,           0,         184,      -7.844035408,      -7.521154524,       -8.14281397,      -8.326121631
          0,           0,         185,      -7.877982936,      -7.562330054,       -8.18237357,      -8.370477915
          0,           0,         186,      -7.912247916,      -7.605562478,      -8.222126829,      -8.417634365
          0,           0,         187,      -7.946013655,      -7.650078072,      -8.261932649,      -8.466574119
          0,           0,         188,      -7.978348908,      -7.694491953,      -8.301084872,      -8.514630246
          0,           0,         189,      -8.008386076,      -7.737053116,      -8.337532876,      -8.559004508
          0,           0,         190,      -8.035333518,       -7.77568256,       -8.36955381,      -8.596873083
          0,           0,         191,      -8.058623501,      -7.808166713,      -8.396257763,      -8.625393659
