"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633204908770108e-05, -1.584144901649047e-01, 2.145784357027513e-01, -5.784277630199199e-02, -1.630900407667932e-02, 0.000000000000000e+00, 0.000000000000000e+00, -6.030339572850180e-01
1, 9.990000128750000e-01, -1.454484167485404e-04, -2.264855122910973e-01, 3.288460892642359e-01, -6.345319306459597e-02, -5.798151847864743e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.996954530856145e-01
2, 9.977599978450000e-01, -3.272451590466525e-04, -2.174897382424232e-01, 3.056015059022443e-01, -7.617028082060283e-02, -5.491418608198999e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.984425315701217e-02
3, 9.960200190539999e-01, -5.885116162162654e-04, -2.128975932077517e-01, 2.933591936023633e-01, -8.334957602521473e-02, -5.361314025537489e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.881228636586877e-02
4, 9.937800168990000e-01, -9.419822673546266e-04, -2.112910110498639e-01, 2.890209044699488e-01, -9.341879488658662e-02, -5.343030712753447e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.618285510066333e-02
5, 9.910500049590000e-01, -1.407974213221463e-03, -2.072382740080490e-01, 2.826997999748088e-01, -1.064497147436944e-01, -5.241595443710717e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.162325213308125e-02
6, 9.878399968150000e-01, -2.013442597857447e-03, -1.996681287615735e-01, 2.725980279803722e-01, -1.229897243988444e-01, -5.053788003584825e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.086022350476816e-02
7, 9.841300249100000e-01, -2.790847009942408e-03, -1.865002065989306e-01, 2.554287226585646e-01, -1.420150157890658e-01, -4.724435282664931e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.912805682005725e-03
8, 9.799500107769999e-01, -3.750402970854402e-03, -1.661074853439691e-01, 2.286952671671447e-01, -1.613896247387779e-01, -4.213081722937977e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.773537356309393e-03
9, 9.752799868580000e-01, -4.889499578827287e-03, -1.381158520238827e-01, 1.917860077227516e-01, -1.780008525613199e-01, -3.508063110916300e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.317620528492478e-03
10, 9.701499938960000e-01, -6.165525452256071e-03, -1.041388004294099e-01, 1.469044181007844e-01, -1.885399311852044e-01, -2.647653580079617e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.026337468123842e-04
11, 9.645400047300000e-01, -7.526236046521992e-03, -6.780715613731544e-02, 9.887842694410949e-02, -1.904564319645198e-01, -1.723228307553953e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.672740760804307e-03
12, 9.584699869160000e-01, -8.903865244323440e-03, -3.466757251196736e-02, 5.478933779042875e-02, -1.832148025402154e-01, -8.738618869284343e-03, 0.000000000000000e+00, 0.000000000000000e+00, -6.784418307783735e-03
13, 9.519400000570000e-01, -1.024892911469725e-02, -1.022813451522853e-02, 2.154789431395849e-02, -1.691652380420773e-01, -2.449023059545211e-03, 0.000000000000000e+00, 0.000000000000000e+00, -7.028916476239767e-03
14, 9.449599981310000e-01, -1.153646827282558e-02, 2.731304124201017e-03, 2.724944881991525e-03, -1.527110099416026e-01, 8.826620825806094e-04, 0.000000000000000e+00, 0.000000000000000e+00, -4.473998269325974e-03
15, 9.375399947170000e-01, -1.277059610162593e-02, 5.775158967649127e-03, -3.350522176934210e-03, -1.381712420417830e-01, 1.642278000803046e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.176862295310778e-03
16, 9.296900033950000e-01, -1.397604286259468e-02, 3.597672372869637e-03, -2.230387863360692e-03, -1.280238303539489e-01, 1.027572544239924e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.283876304129376e-04
