"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -4.427338253,      -4.123283175,      -3.783057849,      -4.721001389
          0,           0,           1,       -4.13234067,      -4.162710039,      -4.118897693,      -4.462608977
          0,           0,           2,      -3.982181996,      -3.983351617,      -4.302269058,      -4.570964946
          0,           0,           3,      -4.101860114,      -4.043911083,      -4.231562723,      -4.607939995
          0,           0,           4,      -4.194106801,      -4.107018887,      -4.237068623,      -4.708373297
          0,           0,           5,      -4.141792362,      -4.040751226,      -4.367415094,      -4.701696122
          0,           0,           6,      -4.150218123,      -4.008790389,      -4.427787347,      -4.685398459
          0,           0,           7,      -4.186574499,       -4.00305657,      -4.410239696,      -4.706580444
          0,           0,           8,      -4.186962279,      -3.974742814,      -4.434147476,      -4.716421354
          0,           0,           9,      -4.175447853,      -3.940763308,       -4.47813498,      -4.699676881
          0,           0,          10,      -4.174296955,       -3.91633657,      -4.502380949,      -4.680975553
          0,           0,          11,      -4.180671403,      -3.900782007,       -4.50455879,      -4.669814268
          0,           0,          12,      -4.187864149,      -3.890335027,       -4.50585099,      -4.661150583
          0,           0,          13,      -4.196819995,      -3.885596098,      -4.513948653,      -4.656940765
          0,           0,          14,      -4.210025835,      -3.888111076,      -4.524838428,      -4.660183038
          0,           0,          15,      -4.227929201,      -3.897930765,      -4.536909598,      -4.671383558
          0,           0,          16,      -4.250652379,      -3.914978662,      -4.552312038,      -4.691086466
          0,           0,          17,      -4.277966999,      -3.939039758,      -4.573479269,      -4.719865328
          0,           0,          18,      -4.309084286,      -3.969422604,      -4.601412047,      -4.757667311
          0,           0,          19,      -4.339925065,      -4.003745163,      -4.630667231,      -4.796178867
          0,           0,          20,      -4.369934391,      -4.041603323,      -4.654255857,      -4.834514236
          0,           0,          21,      -4.399116521,       -4.08196018,      -4.680970093,      -4.877767009
          0,           0,          22,      -4.427488897,      -4.124143633,       -4.70789076,      -4.922453435
          0,           0,          23,       -4.45708125,      -4.168541365,      -4.734858608,      -4.969000358
          0,           0,          24,      -4.489272308,      -4.214644904,      -4.765772709,      -5.015631933
          0,           0,          25,      -4.524570366,      -4.261814778,      -4.802892945,      -5.060789542
          0,           0,          26,      -4.563355305,      -4.309865878,      -4.846057535,      -5.105062914
          0,           0,          27,      -4.605752821,      -4.358759175,      -4.892522771,      -5.149144981
          0,           0,          28,      -4.650790791,      -4.408075746,      -4.937760153,      -5.192547737
          0,           0,          29,      -4.695861226,      -4.456716733,      -4.976985452,      -5.233572503
          0,           0,          30,      -4.736285149,      -4.502396826,      -5.005159735,      -5.268652063
          0,           0,          31,      -4.766269411,      -4.541230084,      -5.017430895,      -5.290225564
          0,           0,          32,      -4.787910633,      -4.574177936,      -5.029677069,      -5.308946379
          0,           0,          33,      -4.807162106,      -4.605432654,      -5.052130575,      -5.334260463
          0,           0,          34,      -4.826300517,      -4.636315858,      -5.078288046,      -5.361513556
          0,           0,          35,      -4.846327255,      -4.666214508,      -5.106581664,      -5.391560119
          0,           0,          36,       -4.86854185,      -4.694708627,      -5.138447486,      -5.422335817
          0,           0,          37,      -4.893493026,      -4.722193777,      -5.170397294,      -5.452349748
          0,           0,          38,      -4.920632098,      -4.748831013,      -5.200004159,      -5.481404572
          0,           0,          39,      -4.949950475,      -4.775727264,      -5.226406179,      -5.510203499
          0,           0,          40,      -4.980172534,      -4.803124501,      -5.249406517,      -5.537518857
          0,           0,          41,      -5.007939807,      -4.829400924,       -5.26487698,      -5.555461368
          0,           0,          42,      -5.034502985,      -4.857226729,      -5.281788228,      -5.580825246
          0,           0,          43,      -5.060366933,      -4.885620975,      -5.302665551,      -5.605685055
          0,           0,          44,       -5.08708074,      -4.915630556,      -5.325494206,      -5.632258339
          0,           0,          45,       -5.11472431,       -4.94604696,      -5.352868921,      -5.662326204
          0,           0,          46,      -5.143319329,      -4.975035378,      -5.385121683,      -5.692978247
          0,           0,          47,      -5.172814935,      -5.001593543,      -5.419509965,      -5.722095484
          0,           0,          48,      -5.203263555,      -5.026091269,      -5.452457908,      -5.749039705
          0,           0,          49,      -5.233640054,      -5.049172839,      -5.479543438,      -5.773714483
          0,           0,          50,      -5.257637554,      -5.067275007,      -5.494061005,      -5.787423886
          0,           0,          51,       -5.27707383,      -5.083843894,      -5.506460859,      -5.798446118
          0,           0,          52,      -5.298022665,      -5.104539487,      -5.522819417,      -5.818849532
          0,           0,          53,      -5.319173095,      -5.128398109,      -5.540514384,      -5.840139662
          0,           0,          54,      -5.338365825,      -5.151987575,      -5.559390084,      -5.865615134
          0,           0,          55,       -5.35517183,      -5.170791862,      -5.583188154,      -5.890355675
          0,           0,          56,      -5.370865837,      -5.183514619,      -5.609056081,      -5.911168665
          0,           0,          57,      -5.385667321,      -5.189732844,      -5.635716939,      -5.927383849
          0,           0,          58,      -5.401134286,      -5.191260441,      -5.663479726,      -5.939022747
          0,           0,          59,      -5.419350484,      -5.191641683,      -5.689959762,      -5.947611583
