"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632992137425270e-05, 1.306918994070635e+00, 7.390454225812927e-01, 1.073951154414756e-01, 3.746554351340031e+00
1, 9.990000128750000e-01, -1.453141166266332e-04, 1.168418025357453e+00, 7.269783680823254e-01, 1.057370746863592e-01, 3.360993537120753e+00
2, 9.977599978450000e-01, -3.257730900892821e-04, 1.158291688112431e+00, 7.790058016111064e-01, 1.137813420399042e-01, 3.342894860596961e+00
3, 9.960200190539999e-01, -5.805710755899129e-04, 1.142956625984622e+00, 8.015200085519901e-01, 1.183282662636036e-01, 3.305254242231064e+00
4, 9.937800168990000e-01, -9.133370187218038e-04, 1.131909166210550e+00, 8.125300942572943e-01, 1.223555874294992e-01, 3.277265695470049e+00
5, 9.910500049590000e-01, -1.328985193940153e-03, 1.124349884439765e+00, 8.230850025033014e-01, 1.276383263980312e-01, 3.258882264100942e+00
6, 9.878399968150000e-01, -1.834474228106716e-03, 1.116469886171490e+00, 8.312744791590255e-01, 1.336388587531838e-01, 3.239216508736443e+00
7, 9.841300249100000e-01, -2.441467604417501e-03, 1.108059293817217e+00, 8.398613093458204e-01, 1.400231527097499e-01, 3.218261906848176e+00
8, 9.799500107769999e-01, -3.149906559115270e-03, 1.098450491504707e+00, 8.492674162766176e-01, 1.458003214088720e-01, 3.194263173605124e+00
9, 9.752799868580000e-01, -3.960822247881259e-03, 1.087712929617182e+00, 8.596039783292964e-01, 1.498322705898757e-01, 3.167412342458502e+00
10, 9.701499938960000e-01, -4.858087091217041e-03, 1.076397909886369e+00, 8.703906331536390e-01, 1.512857798289903e-01, 3.139089167671869e+00
11, 9.645400047300000e-01, -5.827577828300179e-03, 1.065440133813998e+00, 8.807517097952350e-01, 1.499337435863726e-01, 3.111631041841201e+00
12, 9.584699869160000e-01, -6.846419503348852e-03, 1.055863236931856e+00, 8.898261749081955e-01, 1.462999463183494e-01, 3.087622565663183e+00
13, 9.519400000570000e-01, -7.899195925465065e-03, 1.048259480955893e+00, 8.970363988854448e-01, 1.414589507403580e-01, 3.068543544382199e+00
14, 9.449599981310000e-01, -8.976889170370884e-03, 1.042642806190011e+00, 9.023399451911337e-01, 1.366067395089827e-01, 3.054432287744920e+00
15, 9.375399947170000e-01, -1.007923659516262e-02, 1.038514220458946e+00, 9.060978076224658e-01, 1.326382549303725e-01, 3.044030944473628e+00
16, 9.296900033950000e-01, -1.121217264367878e-02, 1.035152990570611e+00, 9.089135591934466e-01, 1.299383334783232e-01, 3.035534107939792e+00
17, 9.214000105860000e-01, -1.238660963315508e-02, 1.031905087972437e+00, 9.113620141071854e-01, 1.284281946842249e-01, 3.027303997802800e+00
18, 9.126999974250000e-01, -1.360638675467495e-02, 1.028360301542457e+00, 9.138436791784055e-01, 1.277462789353324e-01, 3.018316681302037e+00
19, 9.035800099370001e-01, -1.487766890883074e-02, 1.024350708051155e+00, 9.165327840358215e-01, 1.274723212060724e-01, 3.008149046471972e+00
20, 8.940600156780000e-01, -1.619885456588207e-02, 1.019906302790432e+00, 9.194615654075067e-01, 1.272666196410003e-01, 2.996881780132946e+00
21, 8.841500282290000e-01, -1.756705602918058e-02, 1.015137676105846e+00, 9.225461153825383e-01, 1.269221425249891e-01, 2.984788135029622e+00
22, 8.738499879840000e-01, -1.897931179467674e-02, 1.010156073665532e+00, 9.256791229863930e-01, 1.263547591493539e-01, 2.972140124232276e+00
23, 8.631799817090000e-01, -2.042945738575119e-02, 1.005070601319768e+00, 9.288152492568821e-01, 1.255649010019430e-01, 2.959221734894706e+00
24, 8.521599769590000e-01, -2.191154626139569e-02, 9.999086788288788e-01, 9.318837292867284e-01, 1.245769234413203e-01, 2.946089798303107e+00
25, 8.407700061800000e-01, -2.342528800073034e-02, 9.946861608047936e-01, 9.348860863949434e-01, 1.234264466551227e-01, 2.932789011693782e+00
26, 8.290500044819999e-01, -2.496259368486629e-02, 9.893898230030854e-01, 9.378130995967974e-01, 1.221266720621637e-01, 2.919282060745943e+00
27, 8.170099854470000e-01, -2.651943571683374e-02, 9.840040343204475e-01, 9.406809661272125e-01, 1.206790061030942e-01, 2.905531743276059e+00
28, 8.046399950980000e-01, -2.809412900608797e-02, 9.785159721245554e-01, 9.434814728538282e-01, 1.190702134172113e-01, 2.891501486135758e+00
29, 7.919700145720000e-01, -2.967955572112866e-02, 9.729344740034469e-01, 9.462129776105042e-01, 1.172792000488708e-01, 2.877214478339680e+00
