"PointID","x","y"
0, 9.997500181200000e-01, -3.633182423328115e-05
1, 9.990000128750000e-01, -1.454342243384784e-04
2, 9.977599978450000e-01, -3.270896011198808e-04
3, 9.960200190539999e-01, -5.876725648691413e-04
4, 9.937800168990000e-01, -9.389556868370681e-04
5, 9.910500049590000e-01, -1.399629533973031e-03
6, 9.878399968150000e-01, -1.994539255947224e-03
7, 9.841300249100000e-01, -2.753953832126765e-03
8, 9.799500107769999e-01, -3.687015695785318e-03
9, 9.752799868580000e-01, -4.791519165046629e-03
10, 9.701499938960000e-01, -6.027678223669545e-03
11, 9.645400047300000e-01, -7.347309621732122e-03
12, 9.584699869160000e-01, -8.687423577807850e-03
13, 9.519400000570000e-01, -1.000216610466937e-02
14, 9.449599981310000e-01, -1.126828513223548e-02
15, 9.375399947170000e-01, -1.248944694096329e-02
16, 9.296900033950000e-01, -1.368840530688234e-02
17, 9.214000105860000e-01, -1.489752804983134e-02
18, 9.126999974250000e-01, -1.613918219058021e-02
19, 9.035800099370001e-01, -1.743146909316005e-02
20, 8.940600156780000e-01, -1.877735599042432e-02
21, 8.841500282290000e-01, -2.017310483622737e-02
22, 8.738499879840000e-01, -2.161212843304657e-02
23, 8.631799817090000e-01, -2.308404351374367e-02
24, 8.521599769590000e-01, -2.457956097255059e-02
25, 8.407700061800000e-01, -2.609645570718649e-02
26, 8.290500044819999e-01, -2.762597608276300e-02
27, 8.170099854470000e-01, -2.916447180360442e-02
28, 8.046399950980000e-01, -3.071120148525165e-02
29, 7.919700145720000e-01, -3.226039964944476e-02
30, 7.790099978450000e-01, -3.380868531109205e-02
31, 7.657799720760000e-01, -3.535124462109527e-02
32, 7.522799968720000e-01, -3.688537907852994e-02
33, 7.385200262070000e-01, -3.840702662824788e-02
34, 7.245299816130000e-01, -3.990993467508794e-02
35, 7.103199958800001e-01, -4.139015051260315e-02
36, 6.958900094030001e-01, -4.284482383631059e-02
37, 6.812700033190000e-01, -4.426823768557776e-02
38, 6.664699912070000e-01, -4.565698152097677e-02
39, 6.514999866490000e-01, -4.700786777044887e-02
40, 6.363800168040000e-01, -4.831710263335252e-02
41, 6.211299896240000e-01, -4.958130350613972e-02
42, 6.057599782940000e-01, -5.079825239041046e-02
43, 5.902799963950000e-01, -5.196598677865195e-02
44, 5.747100114820000e-01, -5.308208379242528e-02
45, 5.590599775310000e-01, -5.414514323281649e-02
46, 5.433599948880000e-01, -5.515269125305920e-02
47, 5.276100039480000e-01, -5.610446835134168e-02
48, 5.118399858470000e-01, -5.699852494130055e-02
49, 4.960500001910000e-01, -5.783480383403882e-02
50, 4.802699983120000e-01, -5.861170483281421e-02
51, 4.645099937920000e-01, -5.932877290881790e-02
52, 4.487800002100000e-01, -5.998548816673157e-02
53, 4.331099987030000e-01, -6.058050481416918e-02
