Time_Iter,Outer_Iter,Inner_Iter,"    ""rms[Rho]""    ","    ""rms[RhoU]""   ","    ""rms[RhoV]""   ","    ""rms[RhoE]""   ","    ""RefForce""    ","       ""CD""       ","       ""CL""       ","       ""CSF""      ","       ""CMx""      ","       ""CMy""      ","       ""CMz""      ","       ""CFx""      ","       ""CFy""      ","       ""CFz""      ","      ""CEff""      "
0,0,0,-2.079861357,-0.409495384,-0.974948714,3.383744907,1595.86875,1.324230136,0.021865655,0,0,0,0.01621546,1.324230136,0.021865655,0,0.016511975
0,0,1,-2.809249184,-0.372648271,0.177102823,2.661863638,1595.86875,1.019888516,0.009028383,0,0,0,0.006161426,1.019888516,0.009028383,0,0.008852323
0,0,2,-2.73290961,-0.497810005,-0.172487145,2.735465984,1595.86875,0.623986143,0.006103498,0,0,0,0.003088675,0.623986143,0.006103498,0,0.009781464
0,0,3,-2.786418244,-0.525692648,-0.481250071,2.681056391,1595.86875,0.336825443,0.006126499,0,0,0,0.001409737,0.336825443,0.006126499,0,0.018188944
0,0,4,-2.902296044,-0.54773885,-0.498812914,2.563384718,1595.86875,0.145530831,0.007515647,0,0,0,0.000714948,0.145530831,0.007515647,0,0.051642985
0,0,5,-3.004963327,-0.593552209,-0.521034656,2.457491504,1595.86875,0.022279751,0.009160837,0,0,0,0.001133605,0.022279751,0.009160837,0,0.411173239
0,0,6,-3.070282609,-0.660075038,-0.579686988,2.390305917,1595.86875,-0.052574112,0.009533488,0,0,0,0.002060955,-0.052574112,0.009533488,0,-0.181334273
0,0,7,-3.113625467,-0.741726867,-0.659331922,2.347920262,1595.86875,-0.09278814,0.007761247,0,0,0,0.002689424,-0.09278814,0.007761247,0,-0.083644813
0,0,8,-3.15442503,-0.818203263,-0.747885648,2.309136489,1595.86875,-0.107663849,0.004229628,0,0,0,0.002581587,-0.107663849,0.004229628,0,-0.039285501
0,0,9,-3.202288292,-0.845236251,-0.81527622,2.261841924,1595.86875,-0.103768472,0.000138584,0,0,0,0.001721728,-0.103768472,0.000138584,0,-0.001335514
0,0,10,-3.255740621,-0.815282504,-0.825757032,2.205739196,1595.86875,-0.086625334,-0.003602596,0,0,0,0.000324932,-0.086625334,-0.003602596,0,0.041588248
0,0,11,-3.302472341,-0.778565978,-0.799544884,2.153996071,1595.86875,-0.061629329,-0.006584843,0,0,0,-0.001285214,-0.061629329,-0.006584843,0,0.106845931
0,0,12,-3.330416542,-0.770244244,-0.783057608,2.123715568,1595.86875,-0.034025291,-0.008715336,0,0,0,-0.002794881,-0.034025291,-0.008715336,0,0.256142872
0,0,13,-3.344313778,-0.799583259,-0.797877015,2.113711613,1595.86875,-0.008400086,-0.01003826,0,0,0,-0.003971187,-0.008400086,-0.01003826,0,1.195018609
0,0,14,-3.360541914,-0.864303499,-0.846321605,2.105210078,1595.86875,0.011848022,-0.01061735,0,0,0,-0.004680179,0.011848022,-0.01061735,0,-0.896128503
0,0,15,-3.390512207,-0.951791745,-0.918719045,2.082961554,1595.86875,0.024849846,-0.010545017,0,0,0,-0.004893248,0.024849846,-0.010545017,0,-0.424349387
0,0,16,-3.434996166,-1.031415041,-0.990156837,2.043333128,1595.86875,0.030324038,-0.009995148,0,0,0,-0.004685654,0.030324038,-0.009995148,0,-0.32961139
0,0,17,-3.485855608,-1.067683819,-1.028884367,1.992204435,1595.86875,0.029311282,-0.009162398,0,0,0,-0.00420428,0.029311282,-0.009162398,0,-0.312589475
0,0,18,-3.531158449,-1.066137438,-1.032427878,1.941006008,1595.86875,0.023688847,-0.008213702,0,0,0,-0.003617327,0.023688847,-0.008213702,0,-0.34673286
0,0,19,-3.564365442,-1.060441343,-1.027831155,1.899657405,1595.86875,0.015617915,-0.007288255,0,0,0,-0.003068916,0.015617915,-0.007288255,0,-0.466659943
0,0,20,-3.589682485,-1.069957657,-1.035776738,1.868969116,1595.86875,0.007069744,-0.006515484,0,0,0,-0.002659731,0.007069744,-0.006515484,0,-0.921601054
0,0,21,-3.616340141,-1.097988354,-1.062651286,1.841682791,1595.86875,-0.000469578,-0.006016738,0,0,0,-0.002445942,-0.000469578,-0.006016738,0,12.81306254
0,0,22,-3.650842562,-1.140351479,-1.106837231,1.81011687,1595.86875,-0.006113441,-0.005873825,0,0,0,-0.002439531,-0.006113441,-0.005873825,0,0.960805082
0,0,23,-3.694622662,-1.189270986,-1.161852575,1.770795117,1595.86875,-0.009552276,-0.006101581,0,0,0,-0.00261265,-0.009552276,-0.006101581,0,0.638756783
0,0,24,-3.744655389,-1.235599734,-1.216901936,1.724720597,1595.86875,-0.01093271,-0.006657636,0,0,0,-0.002911882,-0.01093271,-0.006657636,0,0.608964805
0,0,25,-3.794919618,-1.272155936,-1.259526051,1.675927705,1595.86875,-0.010688883,-0.007464085,0,0,0,-0.003275134,-0.010688883,-0.007464085,0,0.698303573
