Points_0,Pressure_Coefficient
0.0052468,0.169689
0.0052468,0.102771
1,0.161315
0.00497035,0.157413
0.00468894,0.398683
0.00440454,0.333116
0.00411905,0.423759
0.00383429,0.438309
0.00355211,0.470465
0.00327449,0.48766
0.00300359,0.50885
0.00274188,0.523994
0.00249225,0.544923
0.00225763,0.571813
0.00203403,0.59928
0.00182002,0.626418
0.001616,0.654269
0.00142239,0.681218
0.00123958,0.707524
0.00106797,0.732826
0.00090796,0.757079
0.000759933,0.780028
0.000624253,0.801513
0.000501309,0.821364
0.000391479,0.839403
0.00029492,0.855395
0.000211772,0.86919
0.000142169,0.880625
8.62E-05,0.889576
4.41E-05,0.895935
1.59E-05,0.899626
1.77E-06,0.9006
1.77E-06,0.898835
1.59E-05,0.894339
4.41E-05,0.887152
8.62E-05,0.877339
0.000142169,0.86499
0.000211772,0.850226
0.00029492,0.833187
0.000391479,0.81405
0.000501309,0.792977
0.000624253,0.770218
0.000759933,0.745958
0.00090796,0.720366
0.00106797,0.693608
0.00123958,0.66594
0.00142239,0.637406
0.001616,0.608363
0.00182002,0.578547
0.00203403,0.549626
0.00225763,0.520582
0.00249225,0.49246
0.00274188,0.471152
0.00300359,0.455968
0.00327449,0.434561
0.00355211,0.416988
0.00383429,0.384068
0.00411905,0.368435
0.00440454,0.274896
0.00468894,0.338511
0.00497035,0.0941115
0.0076176,0.21922
0.01102,-0.0304772
0.0157827,-0.143311
0.0220569,-0.230217
0.0299477,-0.302092
0.0394966,-0.35272
0.0506987,-0.387318
0.0635184,-0.410092
0.0779001,-0.424058
0.0937761,-0.431456
0.111071,-0.433842
0.129704,-0.432301
0.149594,-0.42761
0.170655,-0.420349
0.192803,-0.410959
0.215954,-0.399802
0.240024,-0.387172
0.26493,-0.373355
0.29059,-0.358551
0.316923,-0.342996
0.343849,-0.326877
0.371288,-0.310361
0.399163,-0.293595
0.427395,-0.276667
0.455908,-0.259705
0.484625,-0.242798
0.513468,-0.226023
0.54236,-0.209407
0.571224,-0.192932
0.599982,-0.176638
0.628554,-0.160498
0.65686,-0.144489
0.684816,-0.128541
0.712339,-0.112561
0.739342,-0.0964792
0.765735,-0.0801771
0.791425,-0.0635581
0.816315,-0.046387
0.840302,-0.0285844
0.86328,-0.00977602
0.885133,0.00991138
0.905738,0.0319461
0.924959,0.0543436
0.942648,0.0859142
0.958634,0.116643
0.972714,0.199192
0.984632,0.228726
0.994016,0.587802
0.998087,0.193599
0.990378,0.502332
0.979716,0.16568
0.966647,0.193483
0.95149,0.122254
0.93448,0.0998478
0.915811,0.0686392
0.895647,0.0459841
0.874137,0.023047
0.851414,0.00266597
0.827601,-0.0168835
0.802813,-0.0352411
0.777158,-0.0529786
0.75074,-0.0701542
0.723656,-0.0869245
0.696001,-0.103448
0.667867,-0.119868
0.639341,-0.13625
0.61051,-0.152634
0.581459,-0.169093
0.552269,-0.185691
0.523024,-0.202412
0.493802,-0.219228
0.464686,-0.236088
0.435754,-0.252975
0.407086,-0.269808
0.378762,-0.286461
0.350863,-0.30282
0.323469,-0.318699
0.296663,-0.333961
0.270527,-0.348426
0.245145,-0.36183
0.220603,-0.373951
0.196985,-0.384479
0.174379,-0.393099
0.152872,-0.399435
0.132552,-0.402999
0.113506,-0.40317
0.0958204,-0.399169
0.0795787,-0.389839
0.06486,-0.373577
0.0517355,-0.348111
0.0402641,-0.310392
0.0304849,-0.256176
0.0224054,-0.180594
0.0159857,-0.0885167
0.0111199,0.0266271
0.00765159,0.27597
