"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633182423328115e-05, 1.320546184073375e+00, 6.967501446125727e-01, 1.013326214969613e-01, 3.777592266564207e+00
1, 9.990000128750000e-01, -1.454342243384784e-04, 1.188051180140677e+00, 7.012792210771096e-01, 1.024624672716771e-01, 3.410723780931050e+00
2, 9.977599978450000e-01, -3.270896011198808e-04, 1.179334736009306e+00, 7.536339359560729e-01, 1.118411115003466e-01, 3.396060055809746e+00
3, 9.960200190539999e-01, -5.876725648691413e-04, 1.166152638179432e+00, 7.735331742691361e-01, 1.189198445756650e-01, 3.363604040996811e+00
4, 9.937800168990000e-01, -9.389556868370681e-04, 1.157918143256318e+00, 7.819758797919607e-01, 1.277523067604560e-01, 3.342805241470565e+00
5, 9.910500049590000e-01, -1.399629533973031e-03, 1.152237045251220e+00, 7.898137676875459e-01, 1.403554910653649e-01, 3.329112675385249e+00
6, 9.878399968150000e-01, -1.994539255947224e-03, 1.144646262069001e+00, 7.968755591453944e-01, 1.559582433350265e-01, 3.310211047071336e+00
7, 9.841300249100000e-01, -2.753953832126765e-03, 1.134015209332088e+00, 8.069176526054103e-01, 1.730914490021477e-01, 3.283741791408653e+00
8, 9.799500107769999e-01, -3.687015695785318e-03, 1.119132790768163e+00, 8.211737955776643e-01, 1.890607981954543e-01, 3.246615097545932e+00
9, 9.752799868580000e-01, -4.791519165046629e-03, 1.100103712201773e+00, 8.396577423866827e-01, 2.005461253503314e-01, 3.199088161092153e+00
10, 9.701499938960000e-01, -6.027678223669545e-03, 1.078052474801354e+00, 8.609292900761167e-01, 2.048750954362419e-01, 3.143908942424922e+00
11, 9.645400047300000e-01, -7.347309621732122e-03, 1.055374305209620e+00, 8.822350497010371e-01, 2.009006140765419e-01, 3.086995127799783e+00
12, 9.584699869160000e-01, -8.687423577807850e-03, 1.035743523716842e+00, 9.006256294579721e-01, 1.897643574838970e-01, 3.037658660555170e+00
13, 9.519400000570000e-01, -1.000216610466937e-02, 1.021982543340690e+00, 9.140885510646638e-01, 1.746216104490453e-01, 3.003069556771645e+00
14, 9.449599981310000e-01, -1.126828513223548e-02, 1.014720720080388e+00, 9.221938046070144e-01, 1.592884810380221e-01, 2.984832020888265e+00
15, 9.375399947170000e-01, -1.248944694096329e-02, 1.012431642175810e+00, 9.258674061786129e-01, 1.467394342617682e-01, 2.979071628101725e+00
16, 9.296900033950000e-01, -1.368840530688234e-02, 1.012640537334745e+00, 9.268658836120189e-01, 1.382881300665876e-01, 2.979556285223953e+00
17, 9.214000105860000e-01, -1.489752804983134e-02, 1.013115471291109e+00, 9.269362149511469e-01, 1.337088316670356e-01, 2.980680280653096e+00
18, 9.126999974250000e-01, -1.613918219058021e-02, 1.012466994233728e+00, 9.272979996070739e-01, 1.318584946703044e-01, 2.978956096597807e+00
19, 9.035800099370001e-01, -1.743146909316005e-02, 1.010224874294608e+00, 9.284836099961894e-01, 1.314111336976427e-01, 2.973202483216988e+00
20, 8.940600156780000e-01, -1.877735599042432e-02, 1.006554508054299e+00, 9.305389623439690e-01, 1.313021760812341e-01, 2.963843654653150e+00
21, 8.841500282290000e-01, -2.017310483622737e-02, 1.001890697686983e+00, 9.332090061813159e-01, 1.308971572916297e-01, 2.951969506642598e+00
22, 8.738499879840000e-01, -2.161212843304657e-02, 9.966923934105036e-01, 9.361764907843619e-01, 1.299545212456535e-01, 2.938730454445940e+00
23, 8.631799817090000e-01, -2.308404351374367e-02, 9.913331781637792e-01, 9.392032734580236e-01, 1.284933581479370e-01, 2.925073142469812e+00
24, 8.521599769590000e-01, -2.457956097255059e-02, 9.860189627965608e-01, 9.421195815672030e-01, 1.266423745765201e-01, 2.911511365036684e+00
25, 8.407700061800000e-01, -2.609645570718649e-02, 9.808333966259809e-01, 9.448722016235926e-01, 1.245554470093184e-01, 2.898260306436615e+00
26, 8.290500044819999e-01, -2.762597608276300e-02, 9.757706503705006e-01, 9.474521941548112e-01, 1.223399009166787e-01, 2.885304352868039e+00
27, 8.170099854470000e-01, -2.916447180360442e-02, 9.707887375847329e-01, 9.498929032351255e-01, 1.200586885732901e-01, 2.872541036061483e+00
28, 8.046399950980000e-01, -3.071120148525165e-02, 9.658362218941118e-01, 9.522046946069564e-01, 1.177300502340769e-01, 2.859835072250657e+00
29, 7.919700145720000e-01, -3.226039964944476e-02, 9.608912013821638e-01, 9.544134543908598e-01, 1.153445397967855e-01, 2.847134173393463e+00
30, 7.790099978450000e-01, -3.380868531109205e-02, 9.559427187609473e-01, 9.565458822042239e-01, 1.128877523056903e-01, 2.834415814771383e+00
31, 7.657799720760000e-01, -3.535124462109527e-02, 9.509608739268420e-01, 9.585915754854046e-01, 1.103364241847016e-01, 2.821596212465922e+00
32, 7.522799968720000e-01, -3.688537907852994e-02, 9.459181609492856e-01, 9.605555403754156e-01, 1.076762349879749e-01, 2.808602963423608e+00
33, 7.385200262070000e-01, -3.840702662824788e-02, 9.408319080729720e-01, 9.624437512617792e-01, 1.048995687779667e-01, 2.795484139486942e+00
34, 7.245299816130000e-01, -3.990993467508794e-02, 9.357484852961022e-01, 9.642408301825504e-01, 1.020016580632569e-01, 2.782359006485287e+00
35, 7.103199958800001e-01, -4.139015051260315e-02, 9.306994356813955e-01, 9.659252245515501e-01, 9.898345750133276e-02, 2.769305176854929e+00
36, 6.958900094030001e-01, -4.284482383631059e-02, 9.257251985588451e-01, 9.675219751539577e-01, 9.585587949513154e-02, 2.756437727199705e+00
37, 6.812700033190000e-01, -4.426823768557776e-02, 9.208151820383423e-01, 9.689872402117595e-01, 9.262213557282675e-02, 2.743714896651122e+00
38, 6.664699912070000e-01, -4.565698152097677e-02, 9.159988197198791e-01, 9.703505738493813e-01, 8.929795553889067e-02, 2.731223630973987e+00
39, 6.514999866490000e-01, -4.700786777044887e-02, 9.112859839949854e-01, 9.716080969030043e-01, 8.589556032554285e-02, 2.718988601895041e+00
40, 6.363800168040000e-01, -4.831710263335252e-02, 9.066895889088548e-01, 9.727487000971824e-01, 8.242695133016399e-02, 2.707040202178124e+00
41, 6.211299896240000e-01, -4.958130350613972e-02, 9.022388871649273e-01, 9.737967691575288e-01, 7.890700778935768e-02, 2.695462977888142e+00
42, 6.057599782940000e-01, -5.079825239041046e-02, 8.979251565971196e-01, 9.747311269558399e-01, 7.534604615289073e-02, 2.684226504291969e+00
43, 5.902799963950000e-01, -5.196598677865195e-02, 8.937452943719117e-01, 9.755862998355209e-01, 7.175771363719213e-02, 2.673332595632365e+00
44, 5.747100114820000e-01, -5.308208379242528e-02, 8.896616951848364e-01, 9.763383182396170e-01, 6.814838763897563e-02, 2.662673463092771e+00
45, 5.590599775310000e-01, -5.414514323281649e-02, 8.857191470617998e-01, 9.770214480843765e-01, 6.453036136478607e-02, 2.652377857248561e+00
46, 5.433599948880000e-01, -5.515269125305920e-02, 8.820087335299607e-01, 9.776125957150570e-01, 6.090500870902223e-02, 2.642678429759127e+00
47, 5.276100039480000e-01, -5.610446835134168e-02, 8.786236930204306e-01, 9.781469247010095e-01, 5.728096534852802e-02, 2.633831521566724e+00
48, 5.118399858470000e-01, -5.699852494130055e-02, 8.754216706811487e-01, 9.786055124921142e-01, 5.365385425382142e-02, 2.625453487135931e+00
49, 4.960500001910000e-01, -5.783480383403882e-02, 8.720792402236665e-01, 9.790208575658776e-01, 5.002652468730964e-02, 2.616700132351334e+00
50, 4.802699983120000e-01, -5.861170483281421e-02, 8.684470331902655e-01, 9.793363076009316e-01, 4.638864491195899e-02, 2.607159566121314e+00
51, 4.645099937920000e-01, -5.932877290881790e-02, 8.652338486260741e-01, 9.795448584351457e-01, 4.273364504449356e-02, 2.598699211896451e+00
52, 4.487800002100000e-01, -5.998548816673157e-02, 8.641324843319985e-01, 9.796498821919902e-01, 3.905284093636456e-02, 2.595779892382247e+00
53, 4.331099987030000e-01, -6.058050481416918e-02, 8.670851786013587e-01, 9.797481116355065e-01, 3.533475237395532e-02, 2.603551546089276e+00
54, 4.174999892710000e-01, -6.111360612649894e-02, 8.739780019162070e-01, 9.798925101943727e-01, 3.156723529157563e-02, 2.621745578447149e+00
55, 4.019699990750000e-01, -6.158367984103175e-02, 8.788385745599760e-01, 9.801415714221087e-01, 2.773154472435782e-02, 2.634625926666788e+00
56, 3.865399956700000e-01, -6.198956983648243e-02, 8.698439954432030e-01, 9.803803690060779e-01, 2.380395421295913e-02, 2.610920756955560e+00
57, 3.712300062180000e-01, -6.233005686530505e-02, 8.384041376572162e-01, 9.794626021364784e-01, 1.973706361616885e-02, 2.527846016538270e+00
58, 3.560400009160000e-01, -6.260417251292912e-02, 7.999217809563919e-01, 9.764278927393091e-01, 1.550660554711254e-02, 2.426105523407184e+00
59, 3.409900069240000e-01, -6.281029687512442e-02, 7.789047926983161e-01, 9.735867833159833e-01, 1.114084996120313e-02, 2.370395258071513e+00
60, 3.261100053790000e-01, -6.294666441537823e-02, 7.743143067251346e-01, 9.724481984709661e-01, 6.618922224429193e-03, 2.358057175638972e+00
61, 3.113999962810000e-01, -6.301169986951939e-02, 7.760062939814177e-01, 9.723588347562696e-01, 1.887626942925876e-03, 2.362408781244022e+00
62, 2.968699932100000e-01, -6.300342765216778e-02, 7.777720345442258e-01, 9.725933728887813e-01, -3.097878060283076e-03, 2.367077942248115e+00
63, 2.825500071050000e-01, -6.291980766564566e-02, 7.783789826089894e-01, 9.726903118810188e-01, -8.374438191799369e-03, 2.368699785445227e+00
64, 2.684499919410000e-01, -6.275874387036075e-02, 7.788628959822376e-01, 9.728082922363183e-01, -1.397834283821953e-02, 2.370021610903635e+00
65, 2.545700073240000e-01, -6.251776130905774e-02, 7.798196848936337e-01, 9.729207936734662e-01, -1.994537292274810e-02, 2.372583942401187e+00
66, 2.409400045870000e-01, -6.219477508642316e-02, 7.813494465694436e-01, 9.731210515611463e-01, -2.632275578274490e-02, 2.376683455155763e+00
67, 2.275699973110000e-01, -6.178741571786568e-02, 7.832190602664842e-01, 9.732918432397577e-01, -3.314967393216243e-02, 2.381676893702650e+00
68, 2.144699990750000e-01, -6.129322427430033e-02, 7.853010271803192e-01, 9.734423342461267e-01, -4.047221282012703e-02, 2.387240829592759e+00
69, 2.016600072380000e-01, -6.071017200705670e-02, 7.876192928754900e-01, 9.735212404892233e-01, -4.834382597440437e-02, 2.393424795051327e+00
70, 1.891400069000000e-01, -6.003536909589061e-02, 7.904855141098930e-01, 9.736148111987257e-01, -5.682023339194240e-02, 2.401076784041594e+00
71, 1.769299954180000e-01, -5.926692666276306e-02, 7.942827269860240e-01, 9.737379023659565e-01, -6.597088106367917e-02, 2.411208428149458e+00
72, 1.650400012730000e-01, -5.840259029474738e-02, 7.991675298693155e-01, 9.738583974357385e-01, -7.585881445454683e-02, 2.424229150120089e+00
73, 1.534900069240000e-01, -5.744106600102307e-02, 8.048705058127970e-01, 9.738256009117026e-01, -8.655106410728940e-02, 2.439399992610622e+00
74, 1.422899961470000e-01, -5.638062953477335e-02, 8.110803620809968e-01, 9.735622389999741e-01, -9.812677374698925e-02, 2.455899205909279e+00
75, 1.314399987460000e-01, -5.521861316038662e-02, 8.177629148009448e-01, 9.729554913456645e-01, -1.106700477185642e-01, 2.473617258281998e+00
76, 1.209499984980000e-01, -5.395328462625912e-02, 8.252339544057393e-01, 9.720381923735725e-01, -1.242852532573106e-01, 2.493414129429258e+00
77, 1.108499988910000e-01, -5.258596624730815e-02, 8.337920471612611e-01, 9.707029665630248e-01, -1.390987053408211e-01, 2.516065855294044e+00
78, 1.011300012470000e-01, -5.111314088256148e-02, 8.434690138344565e-01, 9.686346742528784e-01, -1.551827710906687e-01, 2.541587152351775e+00
79, 9.181000292300000e-02, -4.953561154247749e-02, 8.543025354249213e-01, 9.656908017049786e-01, -1.726820666222888e-01, 2.570078180843053e+00
80, 8.290000259900000e-02, -4.785330467463630e-02, 8.663871551367029e-01, 9.617021245899462e-01, -1.917445966840141e-01, 2.601790176399659e+00
81, 7.440000027400000e-02, -4.606439748269416e-02, 8.798104245782710e-01, 9.562946150738600e-01, -2.124819997186527e-01, 2.636901891962391e+00
82, 6.633000075800000e-02, -4.417156573036179e-02, 8.947666102938240e-01, 9.491260260084876e-01, -2.350641159719633e-01, 2.675906827836899e+00
83, 5.869000032500000e-02, -4.217359989761324e-02, 9.114055310118672e-01, 9.396538842385624e-01, -2.595859576961059e-01, 2.719139067944498e+00
84, 5.149000138000000e-02, -4.007191210750750e-02, 9.299331562767369e-01, 9.272112189896706e-01, -2.861329273106657e-01, 2.767076614269218e+00
85, 4.473999887700000e-02, -3.786869647479482e-02, 9.506879505341896e-01, 9.109289212801771e-01, -3.147156567735511e-01, 2.820530948038948e+00
86, 3.844000026600000e-02, -3.556328407348235e-02, 9.739704004558597e-01, 8.896885907348409e-01, -3.451718494925683e-01, 2.880189546868379e+00
87, 3.260000050100000e-02, -3.315874994303180e-02, 1.000084809571999e+00, 8.621517314564416e-01, -3.771449276993867e-01, 2.946752797993347e+00
88, 2.723000012300000e-02, -3.065951303274015e-02, 1.029293062513497e+00, 8.264589091301759e-01, -4.098665303299968e-01, 3.020740090393108e+00
89, 2.232000045500000e-02, -2.806058002302846e-02, 1.061917581663689e+00, 7.805287411480191e-01, -4.417559565183881e-01, 3.102837157078798e+00
90, 1.789999939500000e-02, -2.537901126690796e-02, 1.098071640950415e+00, 7.217995988280005e-01, -4.705241117791367e-01, 3.193165180782934e+00
91, 1.394999958600000e-02, -2.260437413032431e-02, 1.137739152998590e+00, 6.479231254019899e-01, -4.919995047422215e-01, 3.291550645820791e+00
92, 1.049000024800000e-02, -1.975223894233262e-02, 1.180080863699784e+00, 5.566987212681905e-01, -5.001506036809007e-01, 3.395649106001294e+00
93, 7.519999985000000e-03, -1.682751842858685e-02, 1.223906980004207e+00, 4.482599419292929e-01, -4.866212867987829e-01, 3.502533488395235e+00
94, 5.040000193000000e-03, -1.383583689131939e-02, 1.266775699458326e+00, 3.260653222602396e-01, -4.409051710172932e-01, 3.606242802951336e+00
95, 3.049999941000000e-03, -1.078318927335654e-02, 1.305747826515919e+00, 2.000598257818232e-01, -3.528223423643888e-01, 3.700230665405753e+00
96, 1.560000004000000e-03, -7.698563636615522e-03, 1.332983289702126e+00, 8.739242814296706e-02, -2.178328580319465e-01, 3.764940888881903e+00
97, 5.600000150000000e-04, -4.576658434179087e-03, 1.350426773183753e+00, 8.825705485374412e-03, -3.668108779187820e-02, 3.808378505136264e+00
98, 5.999999800000000e-05, -1.464316187606550e-03, 1.339433967978195e+00, -2.018531534756800e-02, 1.649665915312636e-01, 3.780173978429764e+00
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.313698030283070e+00, 0.000000000000000e+00, 3.027225513967313e-01, 3.714617637694564e+00
100, 5.999999800000000e-05, 1.367006991922939e-03, 1.302728855861900e+00, 5.846502850433425e-02, 4.264715278374556e-01, 3.694038497421988e+00
101, 5.600000150000000e-04, 4.084904567665549e-03, 1.256641063490481e+00, 1.669777648426440e-01, 5.900098870649035e-01, 3.586494096856238e+00
102, 1.560000004000000e-03, 6.667202709427164e-03, 1.165642171541504e+00, 3.410566053404238e-01, 6.891434718366209e-01, 3.359592170142937e+00
103, 3.049999941000000e-03, 9.116231236045965e-03, 1.082796022486043e+00, 5.127801134204620e-01, 7.059276269835014e-01, 3.153942395729902e+00
104, 5.040000193000000e-03, 1.145800526012702e-02, 1.004676421944329e+00, 6.526030001133849e-01, 6.670501249219499e-01, 2.957033263138375e+00
105, 7.519999985000000e-03, 1.368518676832710e-02, 9.359515690824743e-01, 7.530057010775015e-01, 6.006708920453456e-01, 2.781016826415457e+00
106, 1.049000024800000e-02, 1.580545759680873e-02, 8.798186153954656e-01, 8.193572372645087e-01, 5.275032577510068e-01, 2.635293005158950e+00
107, 1.394999958600000e-02, 1.782482889584296e-02, 8.355372955114846e-01, 8.615576748567224e-01, 4.584709501178259e-01, 2.519081398909986e+00
108, 1.789999939500000e-02, 1.974862872561603e-02, 8.014992987159242e-01, 8.880071161075268e-01, 3.977850320267620e-01, 2.428995822566550e+00
109, 2.232000045500000e-02, 2.157419193961392e-02, 7.757329083840372e-01, 9.047778628277173e-01, 3.459462341433376e-01, 2.360376276647154e+00
110, 2.723000012300000e-02, 2.331600006505031e-02, 7.564698532055502e-01, 9.156650412107923e-01, 3.024201926875489e-01, 2.308867677578517e+00
111, 3.260000050100000e-02, 2.496940684333945e-02, 7.421079737145632e-01, 9.228540317673635e-01, 2.657498168695917e-01, 2.270298984621266e+00
112, 3.844000026600000e-02, 2.654408964646021e-02, 7.315272847604982e-01, 9.278601231191739e-01, 2.349151670618021e-01, 2.241823676439150e+00
113, 4.473999887700000e-02, 2.804300562786417e-02, 7.235751865735551e-01, 9.314161168033726e-01, 2.088023508782436e-01, 2.220382513461243e+00
