"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633005370040397e-05, 1.314508780748261e+00, 7.188570450649642e-01, 1.044674191988119e-01, 3.764296676541424e+00
1, 9.990000128750000e-01, -1.453224600050237e-04, 1.177811999238109e+00, 7.166632032145293e-01, 1.042695828767928e-01, 3.385076509953630e+00
2, 9.977599978450000e-01, -3.258643608336259e-04, 1.166958223667211e+00, 7.710183293003725e-01, 1.127395059748153e-01, 3.365184375469253e+00
3, 9.960200190539999e-01, -5.810618171904745e-04, 1.150943689994598e+00, 7.946719247918934e-01, 1.176508018576067e-01, 3.325794389838138e+00
4, 9.937800168990000e-01, -9.150986537118386e-04, 1.139534473564675e+00, 8.068208427143686e-01, 1.221990882910747e-01, 3.296997975725913e+00
5, 9.910500049590000e-01, -1.333807853298759e-03, 1.131513070076135e+00, 8.181446369914084e-01, 1.281190366355349e-01, 3.277479436141230e+00
6, 9.878399968150000e-01, -1.845288275874950e-03, 1.123100830945145e+00, 8.271321324556384e-01, 1.348827620242523e-01, 3.256512349248017e+00
7, 9.841300249100000e-01, -2.462268452925958e-03, 1.113971477244160e+00, 8.366340738571364e-01, 1.420512120842998e-01, 3.233781415314846e+00
8, 9.799500107769999e-01, -3.184920637319363e-03, 1.103409465525435e+00, 8.471543896604982e-01, 1.484789382126961e-01, 3.207415435059779e+00
9, 9.752799868580000e-01, -4.013395696248783e-03, 1.091495280609313e+00, 8.587992188349045e-01, 1.528435168447789e-01, 3.177634652991945e+00
10, 9.701499938960000e-01, -4.929064102263735e-03, 1.078852062292977e+00, 8.709873278190524e-01, 1.541654671101989e-01, 3.145992953282082e+00
11, 9.645400047300000e-01, -5.914381288845475e-03, 1.066570368386053e+00, 8.826825462819221e-01, 1.521704138517274e-01, 3.115216412260027e+00
12, 9.584699869160000e-01, -6.942643620091874e-03, 1.055882042891404e+00, 8.928617010756744e-01, 1.474626968327022e-01, 3.088417242827160e+00
13, 9.519400000570000e-01, -7.995365014484909e-03, 1.047527288878547e+00, 9.008418899637896e-01, 1.413058414695150e-01, 3.067449947565861e+00
14, 9.449599981310000e-01, -9.061817200690882e-03, 1.041555654044904e+00, 9.065650941810883e-01, 1.351139733238191e-01, 3.052443929656812e+00
15, 9.375399947170000e-01, -1.014153405392838e-02, 1.037395075145807e+00, 9.104526325423808e-01, 1.299507694306003e-01, 3.041957380843084e+00
16, 9.296900033950000e-01, -1.124133483205106e-02, 1.034200242023829e+00, 9.132108936971819e-01, 1.262761376919069e-01, 3.033872444951660e+00
17, 9.214000105860000e-01, -1.237332396416479e-02, 1.031200541370381e+00, 9.155144664402232e-01, 1.240017020364486e-01, 3.026259445632227e+00
18, 9.126999974250000e-01, -1.354254331658897e-02, 1.027914165637494e+00, 9.178306878049045e-01, 1.227022071499447e-01, 3.017915425857829e+00
19, 9.035800099370001e-01, -1.475562980782221e-02, 1.024151609877158e+00, 9.203616450798576e-01, 1.218850209811338e-01, 3.008363794530666e+00
20, 8.940600156780000e-01, -1.601106705230365e-02, 1.019961679652579e+00, 9.231390153938226e-01, 1.211522350093817e-01, 2.997734144801813e+00
21, 8.841500282290000e-01, -1.730560946512374e-02, 1.015490902507440e+00, 9.260563554922477e-01, 1.202660845391439e-01, 2.986389788248047e+00
22, 8.738499879840000e-01, -1.863572470382752e-02, 1.010895885951224e+00, 9.289877002541276e-01, 1.191396488113186e-01, 2.974719685341332e+00
23, 8.631799817090000e-01, -1.999494967626581e-02, 1.006320761980714e+00, 9.318625174798801e-01, 1.177882459533299e-01, 2.963095279353415e+00
24, 8.521599769590000e-01, -2.137736127083141e-02, 1.001824458052669e+00, 9.346038222200728e-01, 1.162639909441253e-01, 2.951656415471702e+00
25, 8.407700061800000e-01, -2.278273325901710e-02, 9.974357161443406e-01, 9.372072455660125e-01, 1.146344867333570e-01, 2.940480634700712e+00
26, 8.290500044819999e-01, -2.420405712263626e-02, 9.931468409796086e-01, 9.396681466839600e-01, 1.129438868717852e-01, 2.929546328941032e+00
27, 8.170099854470000e-01, -2.563858093589041e-02, 9.889396591551889e-01, 9.420113964070329e-01, 1.112222800139386e-01, 2.918811283930287e+00
28, 8.046399950980000e-01, -2.708612087388731e-02, 9.847883307560777e-01, 9.442415314893413e-01, 1.094809044660491e-01, 2.908206796076058e+00
