"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633201036321746e-05, -1.895758982720623e-01, 2.801836934013653e-01, -5.430414620430021e-02, -3.216010000388105e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.310294813291874e-01
1, 9.990000128750000e-01, -1.454459724699239e-04, -2.378024477202838e-01, 3.520094915651795e-01, -6.186697912148661e-02, -6.186329429660788e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.508614825865853e-01
2, 9.977599978450000e-01, -3.272183670067600e-04, -2.271752358762663e-01, 3.237181132162983e-01, -7.359309583911366e-02, -5.806020888303168e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.591757231608007e-02
3, 9.960200190539999e-01, -5.883670945083110e-04, -2.209012707860515e-01, 3.080123632477879e-01, -8.127652669158605e-02, -5.613229419197430e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.512628090817519e-02
4, 9.937800168990000e-01, -9.414609000374445e-04, -2.177491566238108e-01, 3.008039853892844e-01, -9.138662812104063e-02, -5.536707354357383e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.346104192600228e-02
5, 9.910500049590000e-01, -1.406536507846496e-03, -2.127953942773462e-01, 2.928185247881396e-01, -1.043336260645780e-01, -5.405350303895402e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.975845666731353e-03
6, 9.878399968150000e-01, -2.010185007457267e-03, -2.046211178523372e-01, 2.815850217166963e-01, -1.206996660267513e-01, -5.197347318592201e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.584717216261314e-03
7, 9.841300249100000e-01, -2.784487238874371e-03, -1.911196114006922e-01, 2.637396186000660e-01, -1.394764055157861e-01, -4.856231764195519e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.892174171874547e-03
8, 9.799500107769999e-01, -3.739471268030284e-03, -1.706480269704242e-01, 2.367349619132434e-01, -1.585742161521874e-01, -4.340500253232685e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.933453055545439e-03
9, 9.752799868580000e-01, -4.872591734583813e-03, -1.428053288257825e-01, 1.999062590355716e-01, -1.749403687771671e-01, -3.637544160390262e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.625197105104655e-03
10, 9.701499938960000e-01, -6.141718285174173e-03, -1.091642578929848e-01, 1.553840381147150e-01, -1.853351767157609e-01, -2.784441299596295e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.638959893597990e-04
11, 9.645400047300000e-01, -7.495298972983257e-03, -7.327790091881359e-02, 1.078791836997167e-01, -1.872698283687156e-01, -1.870509318730768e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.115703882458860e-03
12, 9.584699869160000e-01, -8.866383488628452e-03, -4.056355435567480e-02, 6.430313186519214e-02, -1.802401967801220e-01, -1.031507973652238e-02, 0.000000000000000e+00, 0.000000000000000e+00, -7.095572647476517e-03
13, 9.519400000570000e-01, -1.020610679605370e-02, -1.638175101707641e-02, 3.138242741230542e-02, -1.665600931264852e-01, -4.087818379104050e-03, 0.000000000000000e+00, 0.000000000000000e+00, -7.253647386750470e-03
14, 9.449599981310000e-01, -1.148979874380423e-02, -3.416368991366484e-03, 1.256742356450400e-02, -1.505372858324263e-01, -7.509699425362336e-04, 0.000000000000000e+00, 0.000000000000000e+00, -4.693552386189936e-03
15, 9.375399947170000e-01, -1.272149242168404e-02, -1.317412720508362e-04, 6.211177409686595e-03, -1.363833221900663e-01, 7.536989783537327e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.424714218670428e-03
