"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632817663933777e-05, 1.286276455007186e+00, 7.582028990244815e-01, 1.100955028035637e-01, 3.692624925043809e+00
1, 9.990000128750000e-01, -1.452039888868886e-04, 1.145258947769722e+00, 7.380880058326692e-01, 1.069058691265080e-01, 3.299127675446040e+00
2, 9.977599978450000e-01, -3.245659550574068e-04, 1.133145331455037e+00, 7.905073009138832e-01, 1.137631115332547e-01, 3.276000313912794e+00
3, 9.960200190539999e-01, -5.740594454208254e-04, 1.115226978542378e+00, 8.156512883208563e-01, 1.158475441004621e-01, 3.231995255011484e+00
4, 9.937800168990000e-01, -8.898455356364303e-04, 1.101053788265341e+00, 8.293606886157910e-01, 1.151663723982042e-01, 3.196050157115748e+00
5, 9.910500049590000e-01, -1.264203675724766e-03, 1.091249956358535e+00, 8.424023351507964e-01, 1.131478687734160e-01, 3.172013448099738e+00
6, 9.878399968150000e-01, -1.687683557839425e-03, 1.083109104136279e+00, 8.513674399829703e-01, 1.095789612893965e-01, 3.151664225826011e+00
7, 9.841300249100000e-01, -2.154869903138765e-03, 1.077483663831501e+00, 8.580354042156462e-01, 1.054383969980881e-01, 3.137700484676630e+00
8, 9.799500107769999e-01, -2.657232688442589e-03, 1.074101462685284e+00, 8.621691412091878e-01, 1.016912197005391e-01, 3.129316864300248e+00
9, 9.752799868580000e-01, -3.198715154479884e-03, 1.072476680526009e+00, 8.642600675436350e-01, 9.944053870798242e-02, 3.125307215652131e+00
10, 9.701499938960000e-01, -3.784808744066336e-03, 1.071716890888204e+00, 8.650934870835341e-01, 9.938229351074801e-02, 3.123426576280317e+00
11, 9.645400047300000e-01, -4.432528692648421e-03, 1.070800516437425e+00, 8.656465520376445e-01, 1.016008254958283e-01, 3.121115993703385e+00
12, 9.584699869160000e-01, -5.155689674824594e-03, 1.068913429887459e+00, 8.668109071793695e-01, 1.055423449254946e-01, 3.116351847819225e+00
13, 9.519400000570000e-01, -5.966697250342187e-03, 1.065650010366881e+00, 8.691077083866448e-01, 1.102516920489486e-01, 3.108131468260580e+00
14, 9.449599981310000e-01, -6.869515370690969e-03, 1.061057300534193e+00, 8.726356412410440e-01, 1.147473542319434e-01, 3.096588396442294e+00
15, 9.375399947170000e-01, -7.860228107437257e-03, 1.055502060474754e+00, 8.771033799247541e-01, 1.183140669409418e-01, 3.082641530763485e+00
16, 9.296900033950000e-01, -8.929312677067699e-03, 1.049477959292498e+00, 8.820452276723664e-01, 1.206525581447352e-01, 3.067520930911518e+00
17, 9.214000105860000e-01, -1.006797246421973e-02, 1.043439953384805e+00, 8.869974261993355e-01, 1.218371731553194e-01, 3.052356171087281e+00
18, 9.126999974250000e-01, -1.126304470168761e-02, 1.037703962084260e+00, 8.916463395675751e-01, 1.221758999167158e-01, 3.037936436955567e+00
19, 9.035800099370001e-01, -1.250971928601892e-02, 1.032372213191599e+00, 8.958553662001741e-01, 1.220341488457308e-01, 3.024512540612829e+00
20, 8.940600156780000e-01, -1.380219822224244e-02, 1.027404885038823e+00, 8.996557471220443e-01, 1.217132815090164e-01, 3.011988990505525e+00
21, 8.841500282290000e-01, -1.513837679296646e-02, 1.022676331041453e+00, 9.031462616027769e-01, 1.213924566059054e-01, 3.000051994762428e+00
22, 8.738499879840000e-01, -1.651864074562083e-02, 1.018020114532185e+00, 9.064209318040198e-01, 1.211322221362845e-01, 2.988274235228296e+00
23, 8.631799817090000e-01, -1.794077051992207e-02, 1.013339549609122e+00, 9.096233338260167e-01, 1.209212491645536e-01, 2.976429285416177e+00
24, 8.521599769590000e-01, -1.940201359897993e-02, 1.008526193294501e+00, 9.127826734294555e-01, 1.206960787880249e-01, 2.964229529879499e+00
25, 8.407700061800000e-01, -2.090401275799348e-02, 1.003544304681356e+00, 9.159529938899683e-01, 1.203917561281911e-01, 2.951591082980599e+00
26, 8.290500044819999e-01, -2.243956049182237e-02, 9.983779772932270e-01, 9.191341704996034e-01, 1.199434558519793e-01, 2.938470099851269e+00
27, 8.170099854470000e-01, -2.400460360675024e-02, 9.930294563250732e-01, 9.223234880950978e-01, 1.193015292747611e-01, 2.924871685258747e+00
28, 8.046399950980000e-01, -2.559696837171600e-02, 9.875177488518815e-01, 9.255017651862646e-01, 1.184289512387990e-01, 2.910842155152184e+00
29, 7.919700145720000e-01, -2.720876550176241e-02, 9.818709155253638e-01, 9.286409780917111e-01, 1.172968238195004e-01, 2.896449830696730e+00
30, 7.790099978450000e-01, -2.883429834444365e-02, 9.761267435247639e-01, 9.317397248809259e-01, 1.158910039885410e-01, 2.881796522640871e+00
31, 7.657799720760000e-01, -3.046631719598888e-02, 9.702993470687444e-01, 9.347605165147524e-01, 1.141973010515035e-01, 2.866910273322367e+00
