"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633242184978209e-05, 1.321694360464771e+00, 6.900357442676830e-01, 1.003821386360378e-01, 3.779756933192141e+00
1, 9.990000128750000e-01, -1.454719513443869e-04, 1.190726871672644e+00, 6.956847386258826e-01, 1.017894644414532e-01, 3.417179914290753e+00
2, 9.977599978450000e-01, -3.275032450303624e-04, 1.182938193280650e+00, 7.469621076796368e-01, 1.114010782366530e-01, 3.404787234821608e+00
3, 9.960200190539999e-01, -5.899048367409534e-04, 1.170808803486652e+00, 7.653312777997164e-01, 1.191289778107710e-01, 3.374902632303832e+00
4, 9.937800168990000e-01, -9.470141360087620e-04, 1.163675618852727e+00, 7.723210402135541e-01, 1.292846749839572e-01, 3.356864780249468e+00
5, 9.910500049590000e-01, -1.421873180837973e-03, 1.158805752252066e+00, 7.788055947467033e-01, 1.439600189536749e-01, 3.345182359176677e+00
6, 9.878399968150000e-01, -2.045010105280122e-03, 1.151587332745371e+00, 7.850109037315436e-01, 1.623126519904364e-01, 3.327212084201765e+00
7, 9.841300249100000e-01, -2.852681731566319e-03, 1.140693620778807e+00, 7.949581318068720e-01, 1.825856015818269e-01, 3.300096830619851e+00
8, 9.799500107769999e-01, -3.857178305819296e-03, 1.124768974294456e+00, 8.101305653531649e-01, 2.016629488588123e-01, 3.260392819673154e+00
9, 9.752799868580000e-01, -5.055690539536664e-03, 1.103866547418175e+00, 8.305674580741212e-01, 2.156388896542930e-01, 3.208218005082442e+00
10, 9.701499938960000e-01, -6.401540883799766e-03, 1.079167592004936e+00, 8.546229531693448e-01, 2.212807420027108e-01, 3.146440121929872e+00
11, 9.645400047300000e-01, -7.836508917473207e-03, 1.053285749616284e+00, 8.790473738720449e-01, 2.170608180304011e-01, 3.081480148387151e+00
12, 9.584699869160000e-01, -9.285653782644111e-03, 1.030662088182376e+00, 9.002260308001074e-01, 2.041685024887639e-01, 3.024592157601209e+00
13, 9.519400000570000e-01, -1.069415132884782e-02, 1.015030671771244e+00, 9.156426049005767e-01, 1.863184808727100e-01, 2.985289092046205e+00
14, 9.449599981310000e-01, -1.203471829051712e-02, 1.007351373969674e+00, 9.246963212020410e-01, 1.681398058993955e-01, 2.966019212830748e+00
15, 9.375399947170000e-01, -1.331253970923031e-02, 1.005777766440850e+00, 9.284343347291066e-01, 1.532860009923881e-01, 2.962083355630439e+00
16, 9.296900033950000e-01, -1.455581896581605e-02, 1.007236055806782e+00, 9.289449281186607e-01, 1.433884348047638e-01, 2.965731706883431e+00
17, 9.214000105860000e-01, -1.580384677412252e-02, 1.008963239288164e+00, 9.283390695732747e-01, 1.381882949527942e-01, 2.970021249238195e+00
18, 9.126999974250000e-01, -1.708487330940985e-02, 1.009246326445745e+00, 9.280980948677195e-01, 1.363061748388895e-01, 2.970648124732113e+00
19, 9.035800099370001e-01, -1.842100129423594e-02, 1.007531679527046e+00, 9.288708193232817e-01, 1.361392665934595e-01, 2.966221769070124e+00
20, 8.940600156780000e-01, -1.981682848720391e-02, 1.004032577168554e+00, 9.307172813623277e-01, 1.364035172915366e-01, 2.957288540375703e+00
21, 8.841500282290000e-01, -2.126860915427488e-02, 9.992802479399121e-01, 9.333423482141544e-01, 1.363335075892193e-01, 2.945182438180947e+00
22, 8.738499879840000e-01, -2.276891136362136e-02, 9.938286033997624e-01, 9.363691315873389e-01, 1.356341211031737e-01, 2.931292557711526e+00
23, 8.631799817090000e-01, -2.430614396109970e-02, 9.881192726791660e-01, 9.395092225542823e-01, 1.343218277410421e-01, 2.916736025501075e+00
